,word,,domains,english,spanish,french,indonesian
1015,בַּרְקָן,FL,weeds and thorns,thorn / thistle / brier,espina / cardo / zarza,concubine,duri
1016,בָּרֶקֶת,RE,gemstones,emerald,esmeralda,émeraude,malakit / baiduri sepah / zamrud
1017,בִּרְשַׁע,PN,person,Birsha,Birsá,Birsha,Birsya
1018,בֵּרֹתַי,PN,settlement,Berothai,Berotai,Bérotaï,Berotai
1019,בֵּרֹתִי,PN,group,of Beeroth,Berot,Bérotite,orang Beerot
1020,בְּשׂוֹר,PN,nature,Besor,Besor,Besor,Besor
1021,בֹּשֶׂם,FL,trees /  perfumes and spices,balsam tree / balsam oil,especias / bálsamo,baume,pohon balsam / minyak balsam
1022,בָּשְׂמַת-1,PN,person,Basemath,Basemat,Basmath,Basmat
1023,בָּשְׂמַת-2,PN,person,Basemath,Basemat,Basmath,Basmat
1024,בִּשְׁלָם,PN,person,Bishlam,Bislam,Bishlam,Bislam
1025,בָּשָׁן,PN,area,Bashan,Basán,Bashân,Basan
1026,בַּת־אֲשֻׁרִים,FL,trees,box tree / cypress,caja de madera / ciprés / encina,cyprè,pohon cemara
1027,בַּת יַעֲנָה,FA,birds,eagle owl,Búho águila,autruche / hibou,burung hantu elang
1028,בַּת־שֶׁבַע,PN,person,Bathsheba,Betsabé,Bethsabée,Batsyeba
1029,בַּת־שׁוּעַ-1,PN,person,Bath-shua,hija de Súa,fille de Shoua,Batsyua / Syua
1030,בַּת־שׁוּעַ-2,PN,person,Bath-shua,Bet Súa / Betsabé,Bath-Shoua,Batsyua / Batsyeba
1031,בְּתוּאֵל-1,PN,person,Bethuel,Betuel,Betouël,Betuel
1032,בְּתוּאֵל-2,PN,settlement,Bethuel,Betuel,Betouël,Betuel
1033,בְּתוּל,PN,settlement,Bethul,Betul,Betoul,Betul
1034,בִּתְיָה,PN,person,Bitiah,Bitiá,Bitya,Bica
1035,גְּאוּאֵל,PN,person,Geuel,Gueuel,Guéouël,Guel
1036,גְּאוּלִים,MI,"help, protect, save",redemption,Redención,libération,penebusan
1037,גאל-1,MI,"help, protect, save",to redeem / to deliver,liberar,racheter,menebus
1038,גאל-2,AT,"clean, pure, holy",stain / pollute / defile,contaminar,souiller / polluer,membuat noda / mencemari / menajiskan
1039,גֹּאַל,AT,"clean, pure, holy",defilement,contaminación,pollution,pencemaran
1040,גֹּאֵל-1,BE,"people; kinship; help, protect, save",kinsman / redeemer / avenger,el que rescata / responde por un pariente para asegurarle descendencia / redentor,rédempteur / vengeur / racheteur,sanak / penebus / pembalas
1041,גֹּאֵל-2,BE,"supernatural beings and powers; help, protect, save",Redeemer,redentor,Rédempteur / Rachète / Défenseur,penebus
1042,גְּאֻלָּה,MI,"kinship; help, protect, save",redemption / right of redemption,rescate,rachat,penebusan / hak penebusan
1043,גֵּב,FA,"insects, spiders, and worms",locust,,locust,belalang
1044,גַּבַּי,PN,person,Gabbai,Gabai,Gabbaï,Gabai
1045,גֹּבַי,FA,"insects, spiders, and worms",locust,,locust,belalang
1046,גֵּבִים,PN,locale,Gebim,Guebim,Guévim,Gebim
1047,גְּבִירָה-1,BE,people /  authority /  control,mistress,señora / ama de una esclava,maîtresse,nyonya
1048,גְּבִירָה-2,BE,people /  authority,queen,reina,dominatrice,ratu
1049,גְּבִירָה-3,BE,people /  authority,queen mother,reina madre,maîtresse,ibu ratu
1050,גְּבַל,PN,settlement,Gebal,Guebal,Guebal,Gebal
1051,גְּבָל,PN,settlement,Gebal,Gebal,Gueval,Gebal
1052,גִּבְלִי,PN,group,Gebalite,Guiblita,Guiblites,orang Gebal
1053,גֶּבַע-1,PN,settlement,Geba,Geba,Guèva,Geba
1054,גֶּבַע-2,PN,settlement,Geba,Geba,Guèva,Geba
1055,גִּבְעָא,PN,settlement,Gibea,Guibeá,Guivéa,Gibea
1056,גִּבְעָה-1,PN,settlement,Gibeah,Guibeá,Guivéa,Gibea
1057,גִּבְעָה-2,PN,settlement,Gibeah,Guibeá,Guivéa,Gibea
1058,גִּבְעוֹן,PN,settlement,Gibeon,Gabaón,Gabaon,Gibeon
1059,גִּבְעוֹנִי,PN,group,Gibeonite,Gabaonitas,Gabaonite,orang Gibeon
1060,גִּבְעָתִי,PN,group,of Gibeah,Gabaatita,Guivéatite,orang Gibea
1061,גֶּבֶר,PN,person,Geber,Guéber,Guèvèr,Geber
1062,גִּבָּר,PN,person,Gibbar,Guibar,Guibbar,Gibar
1063,גַּבְרִיאֵל,PN,supernatural beings and powers,Gabriel,Gabriel,Gabriel,Gabriel
1064,גִּבְּתוֹן,PN,settlement,Gibbethon,Guibetón,Guibbetôn,Gibeton
1065,גַּד,FL,health /  perfumes and spices,coriander,cilantro / culantro,coriandre,ketumbar
1066,גַּד-1,PN,supernatural beings and powers,Gad,Gad,Gad,Gad
1067,גַּד-2,PN,person,Gad,Gad,Gad,Gad
1068,גַּד-3,PN,person,Gad,Gad,Gad,Gad
1069,גַּד-4,PN,locale,Gad,Gad,Gad,Gad
1070,גֻּדְגֹּדָה,PN,locale,Gudgodah,Gudgoda,Goudgoda,Gudgod
1071,גְּדוֹלִים,PN,person,Haggedolim,Guedolim,Ha-Guedolim,Gedolim
1072,גְּדוֹר,PN,person,Gedor,Guedor,Guedor,Gedor
1073,גַּדִּי,PN,person,Gaddi,Gadí,Gaddi,Gadi
1074,גָּדִי-1,PN,group,Gadite,Gad,Gadite,orang Gad
1075,גָּדִי-2,PN,person,Gadi,Gadí,Gadi,Gadi
1076,"גְּדִי, גְּדִיָּה",FA,mammals,young goat / kid,cabrito / cabra joven,chevreau / chevrette,kambing muda
1077,גַּדִּיאֵל,PN,person,Gaddiel,Gadiel,Gaddiël,Gadiel
1078,גִּדֵּל-1,PN,person,Giddel,Guidel,Guiddel,Gidel
1079,גִּדֵּל-2,PN,person,Giddel,Guidel,Guiddel,Gidel
1080,גְּדַלְיָה-1,PN,person,Gedaliah,Guedalías,Guedalya,Gedalya
1081,גְּדַלְיָה-2,PN,person,Gedaliah,Guedalías,Guedalias,Gedalya
1082,גְּדַלְיָה-3,PN,person,Gedaliah,Guedalías,Guedalya,Gedalya
1083,גְּדַלְיָהוּ-1,PN,person,Gedaliah,Guedalías,Guedalyahou,Gedalya
1084,גְּדַלְיָהוּ-2,PN,person,Gedaliah,Guedalías,Guedalyahou,Gedalya
1085,גְּדַלְיָהוּ-3,PN,person,Gedaliah,Guedalías,Guedalias,Gedalya
1086,גִּדַּלְתִּי,PN,person,Giddalti,Guidalti,Guiddalti,Gidalti
1087,גִּדְעוֹן,PN,person,Gideon,Gedeón,Gédéon,Gideon
1088,גִּדְעֹם,PN,locale,Gidom,Gidom,Guidom,Gideom
1089,גֹּדֵר,BE,people /  crafts /  occupations,mason,albañil,cordeau,tukang batu
1090,גְּדֹר-1,PN,settlement,Gedor,Guedor,Guedor,Gedor
1091,גְּדֹר-2,PN,locale,Gedor,Guerar,Guedor,Gedor
1092,גְּדֹר-3,PN,locale,Gedor,Guedor,Guedor,Gedor
1093,גְּדֵרָה-1,RE,constructions /  animal husbandry,sheep pen / sheepfold,corral,parc à moutons,kandang
1094,גְּדֵרָה-2,PN,settlement,Gederah,Guederá,Guedéra,Gedera
1095,גְּדֵרָה-3,PN,settlement,Gederah,Guederá,Guedéra,Gedera
1096,גְּדֵרוֹת,PN,locale,Gederoth,Guederot,Guedéroth,Gederot
1097,גְּדֵרִי,PN,group,Gederite,Gederita,Guedérite,orang Gederi
1098,גְּדֵרָתִי,PN,group,of Gederah,Guederatita,Guedératite,Gedera
1099,גְּדֵּרֹתַיִם,PN,locale,Gederothaim,Guederotaim,Guedérotaïm,Gederotaim
1100,גּוֹב-1,FA,"insects, spiders, and worms",locust,,locust,belalang
1101,גּוֹב-2,PN,locale,Gob,,Gob,Gob
1102,גּוֹג-1,PN,person /  area,Gog,Gog,Gog,Gog
1103,גּוֹג-2,PN,person,Gog,Gog,Gog,Gog
1104,גּוֹזָן,PN,settlement,Gozan,Gozán,Gozân,Gozan
1105,גּוֹי,BE,people /  groups /  association,nation / people,pueblo,nation,bangsa / orang
1106,גּוֹלָן,PN,settlement,Golan,Golán,Ruben,Golan
1107,גּוּנִי-1,PN,person,Guni,Guní,Gouni,Guni
1108,גּוּנִי-2,PN,person,Guni,Guní,Gouni,Guni
1109,גּוּנִי-3,PN,group,Gunite,Guní,de Gouni / Gounite,Guni
1110,גּוּר,PN,locale,Gur,Gur,Gour,Gur
1111,גּוּר־בַעַל,PN,locale,Gur-Baal,Gur-baal,Gour-Baal,Gur-Baal
1112,גּוֹרָל,RI,will,lot,suerte / sorteo,destin / sort,undi
1113,גִּזוֹנִי,PN,group,Gizonite,Guizonita,Guizonite,orang Gizon
1114,גָּזֵז-1,PN,person,Gazez,Gazez,Gazèz,Gazes
1115,גָּזֵז-2,PN,person,Gazez,Gazez,Gazèz,Gazes
1116,גָּזִית,RE,constructions,hewn stone / dressed stone / squared stone,piedra labrada,pierres de taille,batu pahat
1117,גַּזָּם,PN,person,Gazzam,Gazam,Gazzam,Gazam
1118,גָּזָם,FA,"insects, spiders, and worms",locust,langosta,sauterelle,belalang
1119,גֶּזֶר,PN,settlement,Gezer,Guézer,Guèzèr,Gezer
1120,גִּזְרִי,PN,group,Girzite,Gezrita,Guirzite,orang Girzi
1121,גַּחַם,PN,person,Gaham,Gáham,Gaham,Gaham
1122,גַּחַר,PN,person,Gahar,Gáhar,Gahar,Gahar
1123,גֵּי יִפְתַּח־אֵל,PN,nature,Valley of Iphtah-El,Jefté-el,vallée de Yiftah-El,Lembah Yiftah-El
1124,גֵּיא בֶּן־הִנֹּם,PN,nature,valley of the son of Hinnom,Ben-hinom,ravin de Ben-Hinnom,lembah Ben-Hinom
1125,גֵיא (ה)מֶלַח,PN,nature,Salt Valley,Valle de la Sal,vallée du Sel,Lembah Asin
1126,גֵּיא־הִנֹּם,PN,nature,valley of Hinnom,Hinom,ravin de Hinnom,Lembah Hinom
1127,גֵּיא הַצְּבֹעִים,PN,locale,Valley of Zeboim,Valle de Zeboyin / Valle de Zeboim,Val des Hyènes,Lembah Zeboim
1128,גֵּיא חֲרָשִׁים,PN,locale,Ge-Harashim,Harasim,Méonotaï,Lembah Tukang-tukang / Lembah Pengrajin
1129,גִּיח,PN,locale,Giah,Guíah,Guiah,Giah
1130,גִּיחוֹן-1,PN,nature,Gihon,Guihón,Guihôn,sungai Gihon
1131,גִּיחוֹן-2,PN,nature,Gihon,Guihón,Guihôn,Gihon
1132,גֵּיחֲזִי,PN,person,Gehazi,Guehazí,Guéhazi,Gehazi
1133,גִּילֹה,PN,settlement,Giloh,Guiló,Guilo,Gilo
1134,גִּילֹנִי,PN,group,Gilonite,Gilonita,Guilonite,orang Gilo
1135,גִּינַת,PN,person,Ginath,Guinat,Guinath,Ginat
1136,גֵּישָׁן,PN,person,Geshan,Guesán,Guéshân,Gesan
1137,גִּלְבֹּעַ,PN,nature,Gilboa,Guilboa,Guilboa,gunung Gilboa
1138,גִּלְגָּל-1,PN,locale,Gilgal,Guilgal,Guilgal,Gilgal
1139,גִּלְגָּל-2,PN,settlement,Gilgal,Guilgal,Galil,Galilea
1140,גִּלְגָּל-3,PN,locale,Gilgal,Guilgal,Guilgal,Gilgal
1141,גִּלְגָּל-4,PN,locale,Gilgal,Guilgal,Guilgal,Gilgal
1142,גִּלְגָּל-5,PN,locale,Gilgal,Guilgal,Guilgal,Gilgal
1143,גִּלְגַּל עֲגָלָה,RE,agriculture,cart wheel,,roue de carriole,gerobak
1144,גִּלָּיוֹן,RE,communication /  writing,tablet,tabla / tablilla,tablette,tablet / papan / batu tulis
1145,גָּלִיל,PN,area,Galilee,Galilea,Galilée,Galilea
1146,גַּלִּים,PN,settlement,Gallim,Galim,Gallim,Galim
1147,גָּלְיָת,PN,person,Goliath,,Goliath,Goliat
1148,גָּלָל-1,PN,person,Galal,Galal,Galal,Galal
1149,גָּלָל-2,PN,person,Galal,Galal,Galal,Galal
1150,גִּלֲלַי,PN,person,Gilalai,Guilalai,Guilalaï,Gilalai
1151,גִּלְעָד-1,PN,area,Gilead,Galaad,Galaad,Gilead / Ramot-Gilead
1152,גִּלְעָד-2,PN,person,Gilead,Galaad,Galaad,Gilead
1153,גִּלְעָד-3,PN,person,Gilead,Galaad,Galaad,Gilead
1154,גִּלְעָד-4,PN,person,Gilead,Galaad,Galaad,Gilead
1155,גִּלְעָד-5,PN,settlement,Gilead,Galaad,Galaad,Gilead
1156,גִּלְעָדִי,PN,group,Gileadite,Galaadita,Galaadite,Gilead
1157,גֹּמֶא,FL,grasses,papyrus,papiro,papyrus,papirus / pandan
1158,גַּמָּדִים,PN,group,Gammadites,gamadeos,Gammadiens,orang Gadad
1159,גָּמוּל,PN,person,Gamul,Gamul,Gamoul,Gamul
1160,גִּמְזוֹ,PN,settlement,Gimzo,Guimzó,Guimzo,Gomzo
1161,גָּמָל,FA,mammals /  domestic animals,camel,camello,chameau / chamelle,unta
1162,גְּמַלִּי,PN,person,Gemalli,Guemalí,Guemalli,Gemali
1163,גַּמְלִיאֵל,PN,person,Gamaliel,Gamaliel,Gameliël,Gamaliel
1164,גֹּמֶר-1,PN,person,Gomer,Gómer,Gomer,Gomer
1165,גֹּמֶר-2,PN,person,Gomer,Gómer,Gomer,Gomer
1166,גְּמַרְיָה,PN,person,Gemariah,Guemarías,Guemarya,Gemarya
1167,גְּמַרְיָהוּ,PN,person,Gemariah,Guemarías,Guemaryahou,Gemarya
1168,גְּנֻבַת,PN,person,Genubath,Guenubat,Guenouvath,Genubat
1169,גִּנְּתוֹי,PN,person,Ginnethoi,Guinetón,Guinnetoï,Ginetoi
1170,גִּנְּתוֹן,PN,person,Ginnethon,Guinetón,Guinnetôn,Gineton
1171,גֹּעָה,PN,locale,Goah,Goá,Goa,Goa
1172,גַּעַל,PN,person,Gaal,Gáal,Gaal,Gaal
1173,גַּעַשׁ,PN,nature,Gaash,Gaas,Gaash,gunung Gaas
1174,גַּעְתָּם,PN,person,Gatam,Gatam,Gaétâm,Gaetam
1175,גֶּפֶן,FL,food,vine,vid / parra,vigne,pokok anggur
1176,גֹּפֶר,FL,trees,cypress,gofer,cyprès,pohon gofir
1177,גֵּר,BE,people /  association,sojourner / stranger,extranjero,étranger / visiteur,pendatang / orang asing
1178,גֵּרָא-1,PN,person,Gera,Guerá,Guéra,Gera
1179,גֵּרָא-2,PN,person,Gera,Guerá,Guéra,Gera
1180,גֵּרָא-3,PN,person,Gera,Guerá,Guéra,Gera
1181,גֵּרָא-4,PN,person,Gera,Guerá,Guéra,Gera
1182,גָּרֵב-1,PN,person,Gareb,Gareb,Garev,Gareb
1183,גָּרֵב-2,PN,nature,Gareb,Gareb,Garev,bukit Gareb
1184,גִּרְגָּשִׁי,PN,group,Girgashite,Gergeseos,Guirgashite,orang Girgasi
1185,גְּרִזִּים,PN,nature,Gerizim,Guerizim,Garizim,gunung Gerizim
1186,גַּרְזֶן,RE,tools /  crafts,axe / pickaxe,hacha / pico,hache,kapak / beliung
1187,גַּרְמִי,PN,group,Garmite,Garmita,Garmite,orang Garmi
1188,גֹּרֶן,RE,agriculture,threshing floor,era,aire de battage,tempat pengirikan
1189,גֹּרֶן הָאָטָד,PN,locale,Goren ha-Atad / threshing-floor of Atad,Campo de Atad / campo de trillar de Atad,Goren-Atad / Aire-de-l'Epine,Goren-Haatad / Atad
1190,גֹּרֶן כִּידֹן,PN,locale,threshing floor of Kidon,era de Quidón / campo de trillar de Quidón,aire de Kidôn,Kidon
1191,גֹּרֶן נָכוֹן,PN,locale,threshing floor of Nacon,era de Nacón / campo de trillar de Nacón,aire de Nakôn,Nakhon
1192,גְּרָר,PN,locale,Gerar,Guerar,Guérar,Gerar
1193,גֵּרְשׁוֹם-1,PN,person,Gershom,Guersón,Guershom,Gersom
1194,גֵּרְשׁוֹם-2,PN,person,Gershom,Guersón,Guershom,Gersom
1195,גֵּרְשׁוֹם-3,PN,person,Gershom,Guersón,Guershom,Gersom
1196,גֵּרְשׁוֹן,PN,person,Gershon,Guersón,Guershôn,Gerson
1197,גֵּרְשֻׁנִּי,PN,group,Gershonite,Guersón,Guershonite,Gerson
1198,גְּשׁוּר,PN,area /  group,Geshur,guesureo,Gueshour,Gesur
1199,גְּשׁוּרִי,PN,group,Geshurite,gesureo / de Gesur,Gueshourite,orang Gesur
1200,גֶּשֶׁם,PN,person,Geshem,,Guéchem,Gesyem
1201,גַּשְׁמוּ,PN,person,Geshem,Guesén,Guèshem,Gesyem
1202,גֹּשֶׁן-1,PN,locale,Goshen,Gosen,Goshèn,Gosyen
1203,גֹּשֶׁן-2,PN,locale,Goshen,Gosen,Goshèn,Gosyen
1204,גִּשְׁפָּא,PN,person,Gishpa,Guispá,Guishpa,Gispa
1205,גַּת-1,RE,agriculture,winepress,lagar,pressoir,alat pemeras anggur
1206,גַּת-2,PN,settlement,Gath,Gat,Gath,Gat
1207,גַּת־הַחֵפֶר,PN,locale,Gath-Hepher,Gat-héfer,Gath-Héfèr,Gat-Hefer
1208,גַּת־רִמּוֹן,PN,settlement,Gath-Rimmon,Gat-rimón,Gath-Rimmôn,Gat-Rimon
1209,גִּתִּי,PN,group,Gittite,Geteo,Guittite,orang Gat
1210,גִּתַּיִם,PN,locale,Gittaim,Guitaim,Guittaïm,Gitaim
1211,גֶּתֶר,PN,person,Gether,Guéter,Guètèr,Geter
1212,דֹּאֵג,PN,person,Doeg,Doeg,Doëg,Doeg
1213,"דָּאָה, דַּיָּה",FA,birds,kite,milano,rapace,burung elang merah
1214,דֹּאר,PN,settlement,Dor,Dor,Dor,Dor
1215,דֹּב,FA,mammals /  wild animals,bear,oso / osa,ours,beruang
1216,דְּבוֹרָה-1,FA,"insects, spiders, and worms",bee,abeja / avispa,abeilles,lebah
1217,דְּבוֹרָה-2,PN,person,Deborah,Débora,Débora,Debora
1218,דְּבוֹרָה-3,PN,person,Deborah,Débora,Débora,Debora
1219,דְּבִיר-1,PN,person,Debir,Debir,Devir,Debir
1220,דְּבִיר-2,PN,settlement,Debir,Debir,Devir,Debir
1221,דִּבְלָה,PN,settlement,Riblah,Riblá,Divla,Ribla
1222,דִּבְלַיִם,PN,person,Diblaim,Diblaim,Divlaïm,Diblaim
1223,דְּבַר־יהוה,MI,"prophecy, vision; communication",word of the LORD,palabra del Señor,parole du Seigneur,firman TUHAN
1224,דִּבְרִי,PN,person,Dibri,Dibrí,Divri,Dibri
1225,דָּבְרַת,PN,settlement,Daberath,Daberat,Daverath,Dobrat
1226,דַּבֶּשֶׁת,PN,settlement,Dabbesheth,Dabéset,Dabbèsheth,Dabeset
1227,"דָּג, דָּגָה",FA,"fish, frogs, and mollusks",fish,pez / pescado,poisson,ikan
1228,דָּגוֹן,PN,supernatural beings and powers,Dagon,Dagón,Dagôn,Dagon
1229,דָּגָן,FL,food /  agriculture,grain / corn,grano,blé,biji-bijian / jagung
1230,דְּדָן,PN,person,Dedan,Dedán,Dedân,Dedan
1231,דְּדָנִי,PN,group,Dedanite,Dedán,de Dedân,orang Dedan
1232,דֹּדָנִים,PN,group,Dodanim,Rodanim,Rodanim,Dodanim
1233,דָּוִד,PN,person,David,David,David,Daud
1234,דּוּדָאִים,FL,health,mandrake / love apple,mandrágora,mandragore / pomme d'amour,buah dudaim / semacam tanaman obat
1235,דּוֹדוֹ-1,PN,person,Dodo,Dodó,Dodo,Dodo
1236,דּוֹדוֹ-2,PN,person,Dodo,Dodó,Dodo,Dodo
1237,דּוֹדוֹ-3,PN,person,Dodo,Dodó,Dodo,Dodo
1238,דּוֹדָוָהוּ,PN,person,Dodavahu,Dodavahu,Dodawahou,Dodawa
1239,דּוֹדַי,PN,person,Dodai,Dodai,Dodaï,Dodai
1240,דּוּכִיפַת,FA,birds,hoopoe,abubilla,huppe,burung maragai
1241,דּוּמָה-1,PN,person,Dumah,Dumá,Douma,Duma
1242,דּוּמָה-2,PN,locale,Dumah,Dumá,Douma,Duma
1243,דּוּמֶשֶׂק,PN,settlement,Damascus,Damasco,Damas,Damsyik
1244,דּוּרָא (AR),PN,nature,Dura,Dura,Doura,lembah Dura
1245,דֹּחַן,FL,agriculture /  food,millet,mijo,millet,jawawut / sekoi
1246,דִּי זָהָב,PN,locale,Dizahab,Dizahab,Di-Zahav,Di-Zahab
1247,דִּיבוֹן-1,PN,settlement,Dibon,Dibón,Divôn,Dibon
1248,דִּיבוֹן-2,PN,settlement,Dibon,Dibón,Divôn,Dibon
1249,דְּיוֹ,RE,communication /  writing,ink,tinta,encre,tinta
1250,דִּימוֹן,PN,locale,Dimon,Dimón,Divôn,Dimon
1251,דִּימוֹנָה,PN,settlement,Dimonah,Dimoná,Dimona,Dimona
1252,דִּינָה,PN,person,Dinah,Dina,Dina,Dina
1253,דִּיפַת,PN,person,Diphath,Rifat,Difath,Difat
1254,דִּישׁוֹן-1,FA,mammals /  wild animals,addax / waterbuck / defassa / kob,antílope,antilope,semacam rusa
1255,דִּישׁוֹן-2,PN,person,Dishon,Disón,Dishôn,Disyan
1256,דִּישׁוֹן-3,PN,person,Dishon,Disón,Dishôn,Disyon
1257,דִּישָׁן-1,PN,person,Dishan,,,
1258,דִּישָׁן-2,PN,person,Dishan,,,
1259,דְּכַר (AR),FA,mammals,ram,,bélier,domba jantan
1260,דַּלָּה,RE,crafts /  cloth,woven material,material tejido,trame / cheveux ébouriffés,bahan tenun
1261,דְּלָיָה-1,PN,person,Delaiah,Delaías,Delaya,Delaya
1262,דְּלָיָה-2,PN,person,Delaiah,Delaías,Delaya,Delaya
1263,דְּלָיָה-3,PN,person,Delaiah,Delaías,Delaya,Delaya
1264,דְּלָיָהוּ-1,PN,person,Delaiah,Delaías,Delayahou,Delaya
1265,דְּלָיָהוּ-2,PN,person,Delaiah,Delaías,Delayahou,Delaya
1266,דְּלִילָה,PN,person,Delilah,Dalila,Dalila,Delila
1267,דִּלְעָן,PN,settlement,Dilean,Dileán,Diléân,Dilean
1268,דַּלְפּוֹן,PN,person,Dalphon,Dalfón,Dalfôn,Dalfon
1269,דִּמְנָה,PN,settlement,Dimnah,Dimná,Rimmôna,Dimna
1270,דַּמֶּשֶׂק,PN,settlement,Damascus,Damasco,Damas,Damsyik
1271,דָּן-1,PN,person,Dan,Dan,Dan,Dan
1272,דָּן-2,PN,settlement,Dan,Dan,Dan,Dan
1273,דַּנָּה,PN,settlement,Dannah,Daná,Danna,Dana
1274,דִּנְהָבָה,PN,settlement,Dinhabah,Dinhaba,Dinhava,Dinhaba
1275,דָּנִי,PN,group,Danite,Dan,Danites,orang Dan
1276,דָּנִיֵּאל-1,PN,person,Daniel,Daniel,Daniel,Daniel
1277,דָּנִיֵּאל-2,PN,person,Daniel,Daniel,Daniel,Daniel
1278,דָּנִיֵּאל-3,PN,person,Daniel,Danel,Daniel,Daniel
1279,דָּנִיֵּאל-4,PN,person,Daniel,Daniel,Daniel,Daniel
1280,דְּעוּאֵל,PN,person,Deuel,Reuel,Déouël,Rehuel
1281,דַּעַת-1,AT,"wisdom, understanding; intellect",knowledge,conocimiento,la connaissance,pengetahuan
1282,דַּעַת-2,AT,?,intention,saber,la connaissance,niat jahat
1283,דָּפְקָה,PN,locale,Dophkah,,Dofqa,Dofka
1284,דִּקְלָה,PN,person,Diklah,Diclá,Diqla,Dikla
1285,דָּרְבָן,RE,control /  animal husbandry,point / tip,punto / punta,aiguillon,ujung tongkat tajam
1286,דַּרְדַּע,PN,person,Darda,Dardá,Darda,Darda
1287,דְּרוֹר,FA,birds,swallow,golondrina,moineau,burang layang-layang
1288,דָּרְיָוֶשׁ (AR),PN,person,Darius,Darío,Darius,Darius
1289,דָּרְיָוֶשׁ,PN,person,Darius,Darío,Darius,Darius
1290,דֶּרֶךְ,AT,morals and ethics,way,,mode de vie,jalan
1291,דַּרְמֶשֶׂק,PN,settlement,Damascus,Damasco,Damas,Damsyik
1292,דָּרַע,PN,person,Dara,Dardá,Dara,Dara
1293,דַּרְקוֹן,PN,person,Darkon,Darcón,Darqôn,Darkon
1294,דֶּשֶׁא,FL,plants,vegetation,hierba,herbe / verdure / gazon,tumbuh-tumbuhan
1295,דָּתָן,PN,person,Dathan,Datán,Datân,Datan
1296,דֹּתָן,PN,settlement,Dothan,Dotán,Dotân,Dotan
1297,הָאֲחַשְׁתָּרִי,PN,person,Haahashtari,Ahastarí,Ahashtarites,Ahastari
1298,הֶבֶל,PN,person,Abel,Abel,Abel,Habel
1299,הָבְנִים,FL,trees,ebony tree,ébano,ébène,pohon hitam / pohon arang
1300,הֵגֶא,PN,person,Hegai,Jegay / Hegai,Hégué,Hegai
1301,הֵגַי,PN,person,Hegai,Hegai,Hégué,Hegai
1302,הָגָר,PN,person,Hagar,Agar,Hagar,Hagar
1303,הַגְרִי-1,PN,group,Hagrite,Agarenos,Hagrite,Hagri
1304,הַגְרִי-2,PN,person,Hagri,Hagrai,Hagri,Hagri
1305,הֲדַד,PN,person,Hadad,Hadad / gobernador,Hadad,Hadad
1306,הֲדַד־רִמּוֹן,PN,locale,Hadad-Rimmon,Hadad-rimón,Hadad-Rimmôn,Hadad-Rimon
1307,הֲדַדְעֶזֶר,PN,person,Hadadezer,Hadad-ézer,Hadadèzèr,Hadadezer
1308,הֹדּוּ,PN,area,India,India,Inde,India
1309,הֲדוֹרָם-1,PN,person,Hadoram,Hadoram,Hadoram,Hadoram
1310,הֲדוֹרָם-2,PN,person,Hadoram,Adoram,Hadoram,Hadoram
1311,הִדַּי,PN,person,Hiddayi,Hidai,Hiddaï,Hidai
1312,הֲדַס,FL,trees /  religious activities,myrtle,arrayán / mirto,myrte,pohon murad
1313,הֲדַסָּה,PN,person,Hadassah,Hadasá,Hadassa,Hadasa
1314,הֲדַר,PN,person,Hadar,Hadad,Hadar,Hadar
1315,הֲדֹרָם,PN,person,Hadoram,Adoram,Adoram,Hadoram
1316,הוֹד-1,AT,"honor, respect, status; glory",majesty / splendor,Majestad / esplendor / honor,splendeur / majesté,keagungan / kemegahan
1317,הוֹד-2,PN,person,Hod,Hod,Hod,Hod
1318,הוֹדְוָה,PN,person,Hodevah,Hodavías,Hodwa,Hodewa
1319,הוֹדַוְיָה-1,PN,person,Hodaviah,Hodavías,Hodawya,Hodawya
1320,הוֹדַוְיָה-2,PN,person,Hodaviah,Hodavías,Hodawya,Hodawya
1321,הוֹדַוְיָה-3,PN,person,Hodaviah,Hodavías,Hodawya,Hodawya
1322,הוֹדַוְיָהוּ,PN,person,Hodaviah,Hodavías,Hodawyahou,Hodawya
1323,הוֹדִיָּה-1,PN,person,Hodiah,Hodías,Hodiya,Hodia
1324,הוֹדִיָּה-2,PN,person,Hodiah,Hodías,Hodiya,Hodia
1325,הוֹהָם,PN,person,Hoham,Hoham,Hoham,Hoham
1326,הוֹמָם,PN,person,Homam,Hemam,Homam,Homam
1327,הוֹשָׁמָע,PN,person,Hoshama,Hosamá,Hoshama,Hosama
1328,הוֹשֵׁעַ-1,PN,person,Hoshea / Hosea,Oseas,Hoshéa,Hosea
1329,הוֹשֵׁעַ-2,PN,person,Hoshea / Hosea,Oseas,Ozias / Osée,Hosea
1330,הוֹשֵׁעַ-3,PN,person,Hoshea / Hosea,Oseas,Hoshéa,Hosea
1331,הוֹשֵׁעַ-4,PN,person,Hoshea / Hosea,Oseas,Hoshéa,Hosea
1332,הוֹשֵׁעַ-5,PN,person,Hoshea / Hosea,Oseas,Ozias,Hosea
1333,הוֹשַׁעְיָה-1,PN,person,Hoshaiah,Hosaías,Hoshaya,Hosaya
1334,הוֹשַׁעְיָה-2,PN,person,Hoshaiah,Hosaías,Hoshaya,Hosaya
1335,הוֹתִיר,PN,person,Hothir,Hotir,Hotir,Hotir
1336,הֵימָם,PN,person,Heman,Hemam,Hémam,Heman
