,word,Unnamed: 2,domains,english,spanish,french,indonesian
697,θυμίαμα,RE,sacrifices and offerings,incense,incienso,encens,
698,θυρεός,RE,artifacts,shield,escudo,bouclier,
699,θυρίς,RE,constructions,window,ventana,fenêtre,
700,θυρωρός,BE,people /  occupations /  authority /  serve,doorkeeper,portero,and f portier,
701,θυσιαστήριον,RE,sacrifices and offerings,altar,altar,autel,
702,θυσία,RI,sacrifices and offerings,sacrifice / offering,sacrificio,sacrifice / offrande / action de faire une offrande,
703,θύϊνος,FL,trees,of citron wood,de cidro / tuya articulada,cédrat / bois de senteur,
704,θύρα-1,RE,constructions,door / gate,puerta,porte / portail,
705,θύρα-2,RE,constructions,entrance / entranceway / portal,entrada,porte / portail,
706,θύω,RI,sacrifices and offerings,sacrifice,sacrificar,massacrer / sacrifier / tuer / assassiner,
707,Θωμᾶς,PN,person,Thomas,Tomás,Thomas,Tomas
708,Ἰακώβ-1,PN,person,Jacob,Jacob,Jacob,
709,Ἰακώβ-2,PN,person,Jacob,Jacob,Jacob,
710,Ἰαμβρῆς,PN,person,Jambres,Jambrés,Jambrès,Yambres
711,Ἰανναί,PN,person,Jannai,Janai,Iannaï,
712,Ἰάκωβος-1,PN,person,James,Santiago,Jacques,
713,Ἰάκωβος-2,PN,person,James,Santiago,Jacques,
714,Ἰάκωβος-3,PN,person,James,Santiago,Jacques,
715,Ἰάκωβος-4,PN,person,James,Santiago,Jacques,
716,Ἰάκωβος-5,PN,person,James,Santiago,Jacques,
717,Ἰάννης,PN,person,Jannes,Janes,Jannès,
718,Ἰάρετ,PN,person,Jared,Jéred,Iaret,
719,Ἰάϊρος,PN,person,Jairus,Jairo,Jaïros,
720,Ἰάσων-1,PN,person,Jason,Jasón,Jason,
721,Ἰάσων-2,PN,person,Jason,Jasón,Jason,
722,Ἰδουμαία,PN,area,Idumea,Idumea,Idumée,
723,Ἰεζάβελ,PN,person,Jezebel,Jezabel,Jézabel,
724,ἱερατεία,RI,occupations /  priesthood,priestly office / priesthood,oficio sacerdotal,prêtrise,
725,ἱερατεύω,RI,occupations /  priesthood,serve as a priest / be a priest,oficiar como sacerdote,servir comme prêtre,
726,Ἱεράπολις,PN,settlement,Hierapolis,Hierápolis,Hiérapolis,
727,ἱεράτευμα,RI,occupations /  priesthood,priesthood,sacerdocio,sacerdoce,
728,Ἰερεμίας,PN,person,Jeremiah,Jeremías,Jérémie,
729,ἱερεύς,BE,people /  occupations /  priesthood /  religious activities,priest,sacerdote,prêtre,
730,Ἰεριχώ,PN,settlement,Jericho,Jericó,Jéricho,
731,Ἱεροσολυμίτης,PN,group,Jerusalem,de Jerusalén,habitants de Jérusalem,
732,Ἱεροσόλυμα-1,PN,settlement,Jerusalem,Jerusalén,Jérusalem,
733,Ἱεροσόλυμα-2,PN,settlement,Jerusalem,Jerusalén,Jérusalem,
734,ἱερουργέω,RI,occupations /  priesthood,serve as a priest / administer in sacred service,servir como sacerdote,servir comme prêtre,
735,ἱερός,RE,buildings /  sanctuary,temple,,temple,
736,ἱερωσύνη,RI,occupations /  priesthood,priesthood / priestly office,sacerdocio,sacerdoce,
737,Ἰεσσαί,PN,person,Jesse,Jesé,Jessé,
738,Ἰεφθάε,PN,person,Jephthah,Jefté,Jephté,
739,Ἰεχονίας,PN,person,Jechoniah,Jeconías,Jéchonias,
740,Ἰησοῦς-1,PN,person,Jesus,Jesús,Jésus,Yesus
741,Ἰησοῦς-2,PN,person,Joshua,Jesús,Jésus,Yesua
742,Ἰησοῦς-3,PN,person,Jesus,Jesús,Jésus,Yesus
743,Ἰησοῦς-4,PN,person,Joshua,Josué,Josué,Yosua
744,Ἰκόνιον,PN,settlement,Iconium,Iconio,Iconium,
745,ἱλασμός,AT,"atone, forgive",the means of forgiveness / propitiation / expiation,propiciación,moyen par lequel les péchés sont pardonnés,
746,ἱλαστήριος,AT,"atone, forgive",propitiation / place where sins are forgiven,propiciación / lugar de propiciación,moyen d'expiation,
747,ἱλάσκομαι,AT,"atone, forgive; compassion",have mercy / forgive,expiar / mostrar compasión,provoquer la rémission pour / enlever / expier / pass. être compatissant / avoir pitié,
748,Ἰλλυρικόν,PN,area,Illyricum,Iliria,Illyrie,
749,ἱματισμός,RE,artifacts /  clothing,clothing / apparel,vestido / vestidura / ropa,habillement / vêtement,
750,ἱμάς,RE,artifacts,strap / thong,correa,courroie,
751,ἱμάτιον-1,RE,artifacts /  clothing,clothing / apparel,manto,robe / vêtement / manteau,
752,ἱμάτιον-2,RE,artifacts /  clothing,cloak / coat / robe,vestido / manto / ropa / capa / túnica exterior,manteau / frange / vêtement,
753,Ἰορδάνης,PN,nature,Jordan River,Jordán,Jourdain,
754,Ἰουδαία,PN,area,Judea,Judea,Judée,
755,Ἰουδαῖος-1,PN,area,Judean,Judío,de Judée / Juif / Juive,dari Yudea
756,Ἰουδαῖος-2,PN,group,Jew,Judío,juif,orang Yahudi
757,Ἰουδαϊκός,PN,group,Jewish,Judaico,juif / juive,
758,Ἰουδαϊκῶς,PN,group,like a Jew / in a Jewish manner,como judío,vie comme une juive / selon la loi juive,secara Yahudi
759,Ἰουλία,PN,person,Julia,Julia,Julie,
760,Ἰουνιᾶς,PN,person,Junias,Junias,Junias,Yunias
761,Ἰούδας-1,PN,person,Judas,Judas,Judas,
762,Ἰούδας-10,PN,area,Judah,Judea,Juda / Judée,
763,Ἰούδας-2,PN,person,Judas,Judas,Judas,
764,Ἰούδας-3,PN,person,Judas / Jude,Judas,Jude,
765,Ἰούδας-4,PN,person,Judas,Judas,Judas,
766,Ἰούδας-5,PN,person,Judas,Judas,Judas,
767,Ἰούδας-6,PN,person,Judas,Judas,Judas,
768,Ἰούδας-7,PN,person,Judah,Judá,Juda,
769,Ἰούδας-8,PN,person,Judah,Judá,Juda,
770,Ἰούδας-9,PN,group,Judah,Judá,Juda,
771,Ἰούλιος,PN,person,Julius,Julio,Julius,
772,Ἰοῦστος-1,PN,person,Justus,Justo,Justus,Yustus
773,Ἰοῦστος-2,PN,person,Justus,Justo,Justus,Yustus
774,Ἰοῦστος-3,PN,person,Justus,Justo,Justus,Yustus
775,Ἰόππη,PN,settlement,Joppa / Jaffa,Jope,Joppé,
776,Ἰσαάκ,PN,person,Isaac,Isaac,Isaac,
777,Ἰσκαριώθ,PN,person,Iscariot,Iscariote,Iscariote,
778,ἰσόψυχος,AT,attitudes and emotions /  association,likeminded,de igual sentimiento,partageant les mêmes sentiments,
779,Ἰσραηλίτης,PN,group,Israelite,Israelita,Israélite / gens d'Israël / peuple d'Israël,
780,Ἰσραήλ-1,PN,person,Israel,Israel,Israël,
781,Ἰσραήλ-2,PN,group,Israel,Israel,Israël,
782,Ἰσραήλ-3,PN,group,Israel,Israel,Israël,
783,Ἰσσαχάρ,PN,person,Issachar,Isacar,Issakar,
784,ἰσχυω-1,AT,strength,have power / be strong enough to,,avoir de la puissance,mempunyai kuasa / cukup kuat
785,ἰσχυω-2,AT,health /  well-being,be healthy,,être vigoureux,sehat
786,ἰσχυω-3,AT,"able, capable",be able to / be capable of,,être capable,mampu / sanggup
787,Ἰταλικός,PN,area,Italian,Italiano,Italique,
788,Ἰταλία,PN,area,Italy,Italia,Italie,
789,Ἰτουραῖος,PN,area,Ituraean,Iturea,Iturée,Iturea
790,ἰχθύδιον,FA,"fish, frogs, and mollusks",small fish,pescadito,petit poisson,
791,ἰχθύς,FA,"fish, frogs, and mollusks",fish,pescado,poisson,
792,Ἰωαθάμ,PN,person,Jotham,Jotam,Joatham,
793,Ἰωανάν,PN,person,Joanan,Johanán,Iôanân,
794,Ἰωάννα,PN,person,Joanna,Juana,Jeanne,
795,Ἰωάννης-1,PN,person,John,Juan,Jean / Jean-Baptiste,
796,Ἰωάννης-2,PN,person,John,Juan,Jean,
797,Ἰωάννης-3,PN,person,John,Juan,Jean,
798,Ἰωάννης-4,PN,person,John,Juan,Jean / Jean-Marc,
799,Ἰωάννης-5,PN,person,John,Juan,Jean,
800,Ἰωάννης-6,PN,person,John,Juan,Jean,
801,Ἰωβήδ,PN,person,Obed,Obed,Jobed / Iôbed,
802,Ἰωδά,PN,person,Joda,Joiadá,Iôda,
803,Ἰωήλ,PN,person,Joel,Joel,Joël,
804,Ἰωνάμ,PN,person,Jonam,Jonam,Iônam,
805,Ἰωνᾶς,PN,person,Jonah,Jonás,Jonas,Yunus
806,Ἰωράμ,PN,person,Joram,Joram,Joram,
807,Ἰωρίμ,PN,person,Jorim,Jorim,Iôrim,
808,Ἰωσαφάτ,PN,person,Jehoshaphat,Josafat,Josaphat,
809,Ἰωσήφ-1,PN,person,Joseph,José,Joseph,
810,Ἰωσήφ-2,PN,person,Joseph,José,Joseph,
811,Ἰωσήφ-3,PN,person,Joseph,José,Joseph,
812,Ἰωσήφ-4,PN,person,Joseph,José,Joseph,
813,Ἰωσήφ-5,PN,person,Joseph,José,Joseph,
814,Ἰωσήφ-6,PN,person,Joseph,José,Joseph,
815,Ἰωσήφ-7,PN,person,Joseph,José,Joseph,
816,Ἰωσήφ-8,PN,person,Joseph,José,Joseph,
817,Ἰωσήχ,PN,person,Josech,Josec,Iôsech,
818,Ἰωσῆς-1,PN,person,Joses,José,Josès,Yoses
819,Ἰωσῆς-2,PN,person,Joses,José,José,Yoses
820,Ἰωσίας,PN,person,Josiah,Josías,Josias,
821,Ἰώβ,PN,person,Job,Job,Job,
822,ἵλεως,AT,"compassion; atone, forgive",merciful,misericordioso,compatissant,menaruh belas kasihan
823,ἵππος,FA,mammals /  domestic animals,horse,caballo,cheval,kuda
824,Καϊάφας,PN,person,Caiaphas,Caifás,Caïphe,
825,καθαρισμός,AT,"clean, pure, holy",cleansing / purification,purificación,nettoyage / purification / rites de purification,
826,καθαρίζω,AT,"clean, pure, holy",cleanse / be cleansed / purify / be purified,limpiar / purificar,nettoyer / rendre propre / purifier / déclarer rituellement acceptable,
827,καθαρός,AT,"clean, pure, holy",clean / pure / innocent,limpio / puro,pur / sain / innocent,
828,καθαρότης,AT,"clean, pure, holy",purity,pureza,purification / pureté,
829,καθέδρα,RE,artifacts /  furnishings,seat / stool / chair,silla,siège / chaise,
830,Καισαρείας τῆς Φιλίππου,PN,settlement,Caesarea Philippi,,Césarée de Philippe,Kaisarea Filipi
831,Καισάρεια,PN,settlement,Caesarea,,Césarée,Kaisarea
832,Καῖσαρ,PN,titles,Caesar / the Emperor,César,César,Kaisar
833,καλάμη,FL,grasses,straw / thatch,paja,paille / chaume,
834,καλλιέλαιος,FL,trees /  fruits,cultivated olive tree,olivo cultivado,olivier cultivé,
835,Καλοὶ Λιμένες,PN,nature,Fair Havens,Puertos,Ports,
836,καλος,AT,morals and ethics,honest / good,bueno / bien,bien / droit / convenable / pertinent / meilleur / honorable / honnête / joli / beau / precieux,baik / patut
837,Καναναῖος,PN,attitudes and emotions /  group,Cananaean = Zealot,Cananeo,zélote,orang Zelot
838,Καϊνάμ-1,PN,person,Cainan,Cainán,Kaïnam,
839,Καϊνάμ-2,PN,person,Cainan,Cainán,Kaïnam,
840,Κανά,PN,settlement,Cana,Caná,Cana,
841,Κανδάκη,PN,titles,Candace,Candace,Candace,
842,Καππαδοκία,PN,settlement,Cappadocia,Capadocia,Cappadoce,
843,καρδιογνώστης,MI,attitudes and emotions /  psychological faculties,knower of hearts,conocedor de los corazones,celui qui connait les coeurs,
844,καρδία,MI,attitudes and emotions /  intellect /  psychological faculties,heart / inner self / mind,corazón,coeur / moi intérieur,
845,καταγινώσκω,AT,"repay, reward, punish",condemn,condenar,condamner,
846,καταδικάζω,AT,court,condemn,condenar,condamner,
847,καταδίκη,AT,"court; repay, reward, punish",sentence of condemnation,condenación,sentence / condamnation,
848,καταδουλόω,AT,authority /  control,gain control over / cause to someone to be subservient,esclavizar,asservir / prendre le dessus sur,
849,κατακρίνω,MI,"court; guilt, responsibility; repay, reward, punish",condemn / be condemned,condenar,condamner / émettre une opinion sur,
850,καταλλαγή,AT,"atone, forgive; conflict; fellowship",reconciliation,reconciliación,étant réconcilié avec Dieu,
851,καταλλάσσω,AT,"atone, forgive; conflict; fellowship",reconcile / be reconciled,reconciliarse,réconcilier qqn avec Dieu / réconcilier,
852,καταπέτασμα,RE,artifacts /  furnishings,drape / curtain / veil,velo / cortina,rideau,
853,κατασκηνόω,RE,artifacts,to nest,anidar / acampar,faire son nid / vivre / habiter,
854,κατασκήνωσις,RE,artifacts,nest,nido,nid,
855,κατασφραγίζω,RE,artifacts /  security,to seal / put a seal on / make secure,sellar,sceller,
856,κατάκριμα,MI,"court; guilt, responsibility; repay, reward, punish",condemnation,condena,condamnation,
857,κατάκρισις,MI,"court; guilt, responsibility; repay, reward, punish",condemnation,condenación,condamnation,
858,κατάλυμα-1,RE,constructions /  buildings,inn,albergue / alojamiento,chambre / chambre d'ami,
859,κατάλυμα-2,RE,constructions /  buildings,room / quarters / dining room,cuarto,chambre / chambre d'ami,
860,κατείδωλος,RE,worship,full of idols,lleno de ídolos,plein d'idoles,
861,κατεξουσιάζω,AT,authority /  control,be in authority / rule,ejercer autoridad sobre,règner sur,
862,κατευλογέω,RI,blessing and curse,bless,bendecir,bénir,
863,κατήγωρ,BE,supernatural beings and powers,Accuser,acusador,accusateur,
864,Καῦδα,PN,area,Cauda,Cauda,Cauda,Kauda
865,Καφαρναούμ,PN,settlement,Capernaum,Cafarnaúm,Capharnaüm,
866,κάλαμος-1,FL,grasses,reed,caña,roseau / canne,
867,κάλαμος-2,FL,grasses,reed,vara,roseau / canne,
868,κάλαμος-3,RE,artifacts /  writing,pen,caña,roseau / canne,
869,κάλαμος-4,RE,artifacts /  construction,measuring rod,vara,roseau / canne,
870,κάλυμμα,RE,artifacts /  clothing,veil,velo,voile,
871,κάμηλος,FA,mammals,camel,camello,chameau,
872,κάμινος,RE,constructions,furnace / kiln,horno,four / fournaise,
873,Κάϊν,PN,person,Cain,Caín,Caïn,
874,Κάρπος,PN,person,Carpus,Carpo,Carpos,Karpus
875,κάρφος,FL,parts,speck / splinter,pajita / astilla,paille / petite écharde,selumbar / secuil kayu
876,Κεγχρεαί,PN,settlement,Cenchrea,Cencreas,Cenchrées,
877,Κεδρών,PN,nature,Kidron,Cedrón,Cédron,
878,κειρία,RE,artifacts /  cloth,band of cloth / strip of cloth,venda,bande d'étoffe,
879,κενοδοξία,AT,purpose,conceit / cheap desire to boast,vanagloria,vanité / désir de se vanter,
880,κενοφωνία,AT,communication /  purpose,foolish talk,palabrería vacía,bavardages impies,
881,κενόδοξος,AT,purpose,conceited / boastful,vanaglorioso,vaniteux / vantard,
882,κενός,AT,purpose,empty / emptyhanded / to no purpose / without result / foolish / senseless,vacío,vide / les mains vides / vers aucun but / sans résultat / stupide / insensé,
883,κενόω,AT,purpose,deprive of power / make of no meaning or effect,vaciar,priver de la puissance / rendre insignifiant ou sans effet,
884,κεραμεύς,BE,people /  occupations /  crafts,potter,alfarero,potier,
885,κεράμιον,RE,artifacts /  household,jar / vessel,cántaro,jarre,
886,κεράτιον,FL,trees /  fruits,carob pod,algarrobo,cosse,
887,κεφαλίς,RE,artifacts /  writing,section / scroll,cabecita,rouleau,
888,κέραμος,RE,artifacts /  buildings,tile / roof tile,teja,tuile de toit,
889,κέρμα,RE,artifacts /  money,coin / change,moneda,pièce de monnaie,
890,κηρύσσω,MI,communication,proclaim / announce,proclamar,proclamer / faire connaître / prêcher,
891,Κηφᾶς,PN,person,Cephas,Cefas,Céphas,Kefas
892,κήρυγμα,MI,communication,proclamation / preaching,proclamación,ce qui est prêché / message / proclamation,
893,κῆνσος,MI,tax,poll tax,tributo,taxe,pajak
894,κῆρυξ,BE,people /  communication,proclaimer,proclamador,prédicateur / héraut,pemberita
895,κῆτος,FA,"fish, frogs, and mollusks",big fish / huge fish,pez grande o enorme,grand poisson,ikan
896,κιβωτός-1,RE,artifacts /  transportation,boat / ship / the ark,arca,arche,
897,κιβωτός-2,RE,artifacts /  religious activities /  sanctuary,box / chest / coffer,arca,arche,
898,κιθαρίζω,RE,artifacts /  music and dance,play a lyre / play a harp,tocar el arpa,jouer de la harpe,
899,κιθαρῳδός,BE,people /  occupations /  music and dance,harpist,arpista,joueur de harpe / de cithare,
900,κιθάρα,RE,artifacts /  music and dance,lyre / harp,arpa,harpe / cithare,
901,Κιλικία,PN,area,Cilicia,Cilicia,Cilicie,
902,Κίς,PN,person,Kish,Quis,Kis,
903,Κλαυδία,PN,person,Claudia,Claudia,Claudia,
904,Κλαύδιος-1,PN,person,Claudius,Claudio,Claude,
905,Κλαύδιος-2,PN,person,Claudius,Claudio,Claudius,
906,κλάδος,FL,parts,branch,rama,branche,
907,κλείς,RE,artifacts,key,llave,clé,
908,Κλεοπᾶς,PN,person,Cleopas,Cleofás,Cléopas,Kleopas
909,Κλήμης,PN,person,Clement,Clemente,Clément,
910,κλῆμα,FL,parts,branch,rama,rameau,ranting
911,κλινάριον,RE,artifacts /  furnishings,cot / pallet / stretcher,camilla / catre,brancard / grabat / lit,
912,κλινίδιον,RE,artifacts /  furnishings,cot / pallet / stretcher,camilla,lit / lit de camp / civière,
913,κλίβανος,RE,constructions /  food,oven,horno,four / fournaise,
914,κλίνη,RE,artifacts /  furnishings,bed / couch / cot / stretcher / bier,camilla,lit / couche / lit de camp / civière / lit du malade,
915,Κλωπᾶς,PN,person,Clopas,Cleofás,Clopas,Klopas
916,Κνίδος,PN,nature,Cnidus,Cnido,Cnide,
917,κοδράντης,RE,artifacts /  money,quadrans / penny,cuadrante,quadrant,
918,κοιλία,MI,body /  parts,belly / internal organs,estómago / vientre,estomac / ventre,
919,κοινός-1,AT,fellowship /  possession,in common / shared,común,commun / en commun,
920,κοινός-2,AT,"clean, pure, holy",impure / common / profane,ordinaria,commun / en commun,
921,κοινόω,AT,"clean, pure, holy",defile / be defiled,hacer impuro,souiller / rendre malsain / considérer comme vulgaire,
922,κοινωνέω,AT,fellowship,share / participate,compartir,partager / prendre part / participer / contribuer / donner une part,
923,κοινωνικός,AT,fellowship,willing to share,solidario,libéral / génereux,
924,κοινωνία,AT,fellowship,fellowship / contribution / participation / sharing,comunión / muestra de solidaridad / participación,fraternité / un rapport mutuel étroit / participation / collaboration / partenariat / contribution / don,
925,κοινωνός,BE,people /  fellowship /  association,partner / partaker / sharer,compañero,partenaire / participant,
926,κοιτών,RE,constructions /  buildings,bedroom,alcoba,chambre,
927,κολλούριον,RE,artifacts /  health,eye salve,colirio,collyre,
928,Κολοσσαί,PN,settlement,Colossae,Colosas,Colosses,
929,κολυμβήθρα,RE,constructions,pool,estanque,piscine,
930,κορβανᾶς,RE,constructions,treasury / Temple treasury,tesoro del templo,trésor du temple,peti persembahan / Ruang Persembahan
931,Κορίνθιος,PN,group,Corinthian,Corintio,Corinthien,
932,Κορνήλιος,PN,person,Cornelius,Cornelio,Corneille,
933,κοσμικός,AT,universe /  behavior,worldly,mundano,terrestre,
934,κοσμοκράτωρ,BE,people /  universe /  authority,world power / world ruler,dominador del mundo,seigneur du monde / gouverneur,
935,Κούαρτος,PN,person,Quartus,Cuarto,Quartus,
936,κόκκινον,RE,artifacts /  cloth,scarlet cloth,escarlata,écarlate,
937,κόκκος,FL,agriculture,seed,grano / semilla,graine / grain,
938,κόραξ,FA,birds,raven,cuervo,corbeau,
939,Κόρε,PN,person,Korah,Coré,Coré,
940,Κόρινθος,PN,settlement,Corinth,Corinto,Corinthe,
941,κόσμος,MI,universe,world,mundo,monde / ordre mondial / univers / habitants du monde / genre humain / domaine de l'existence / façon de vivre / parure,
942,κόφινος,RE,artifacts /  containers,large basket,canasto,panier,
943,κράβαττος,RE,artifacts /  furnishings,cot / pallet / stretcher,cama / camilla / catre,brancard / grabat / lit,
944,κράσπεδον-1,RE,artifacts /  clothing,fringe,fleco,frange / bord,
945,κράσπεδον-2,RE,artifacts /  clothing /  religious activities,tassel,borde / orla / fleco,frange / bord,
946,Κρήσκης,PN,person,Crescens,Crescente,Crescens,
947,Κρής,PN,person,Cretan,Cretense,de Crète / Crétois,
948,Κρήτη,PN,area,Crete,Creta,Crète,
949,κριθή,FL,agriculture,barley,cebada,orge,
950,κριτήριον,MI,court,court case / lawsuit,tribunal de justicia,tribunal / affaire,
951,κριτής,BE,people /  occupations /  court /  law,judge,juez,juge,
952,κριτικός,MI,intellect /  choice,able to discern,capaz de juzgar,capable juger,
953,κρίθινος,FL,agriculture,of barley,de cebada,fait d'orge,
954,κρίμα,MI,"court; guilt, responsibility; repay, reward, punish",judgment / verdict / condemnation,juicio,jugement / décision / verdict / condamnation / punition / procès / puissance ou autorité de juger,
955,κρίνον,FL,plants,wild flower,lirio,lis / fleur sauvage attrayante,
956,κρίνω-1,MI,authority,to rule / govern,juzgar,juger / émettre un jugement sur,
957,κρίνω-2,MI,intellect /  choice,to judge / be judged / sue / decide / esteem / be considered,decidir,juger / émettre un jugement sur,
958,κρίσις-1,MI,"court; guilt, responsibility; repay, reward, punish",judgment / decision / accusation / condemnation,juicio,jugement / sentence,
959,κρίσις-2,MI,"morals and ethics; repay, reward, punish",justice / fairness,justicia,jugement / sentence,
960,Κρίσπος,PN,person,Crispus,Crispo,Crispus [ACT.18:8,
961,κτήνος,FA,mammals /  domestic animals,beast of burden / riding animal / cattle,animal de carga o de monta,animal / bête / cheval,
962,κυνάριον,FA,mammals /  domestic animals,dog,perro,chien,
963,Κυρηναῖος,PN,group,Cyrenian,Cireneo / de Cirene,de Cyrène,orang Kirene
964,Κυρήνη,PN,settlement,Cyrene,Cirene,Egypte,
965,Κυρήνιος,PN,person,Quirinius,Quirinio,Quirinius,
966,κυριότης,AT,supernatural beings and powers /  authority,ruling power / lordship / authority,señorío,puissance,
967,κύμβαλον,RE,artifacts /  music and dance,cymbals,címbalo,cymbale,
968,κύμινον,FL,food,cumin,comino,cumin,
969,Κύπριος,PN,group,from Cyprus,Chipriota / de Chipre,de Chypre,
970,Κύπρος,PN,area,Cyprus,Chipre,Chypre,
971,κύριος,BE,people /  authority,master / owner / lord / Lord,señor,Seigneur / maître / seigneur / propriétaire / monsieur,
972,κύων,FA,mammals /  domestic animals,dog,perro,chien / être abominable,
973,Κωσάμ,PN,person,Cosam,Cosam,Kôsam,
974,κώνωψ,FA,"insects, spiders, and worms",gnat / mosquito,mosquito,moustique,
975,Κώς,PN,area,Cos,Cos,Cos,
976,λαμπάς-1,RE,artifacts,torch,,torche,
977,λαμπάς-2,RE,artifacts,lamp,,lampe,
978,Λαοδικεύς,PN,group,Laodicean,Laodicense / de Laodicea,Laodicée,
979,Λαοδίκεια,PN,settlement,Laodicea,Laodicea,Laodicée,
980,λαός,BE,people /  groups,nation / people,pueblo,peuple / nation / foule / souvent des juifs ou de l'église en tant que peuple de Dieu,
981,Λασαία,PN,settlement,Lasea,Lasea,Lasaïa,
982,λατρεία,RI,authority /  worship,service,servicio / culto / ritos o actos culturales,culte,
983,λατρεύω,RI,authority /  worship,serve / worship,servir / rendir culto,servir / adorer,
984,Λάζαρος-1,PN,person,Lazarus,Lázaro,Lazare,
985,Λάζαρος-2,PN,person,Lazarus,Lázaro,Lazare,
986,Λάμεχ,PN,person,Lamech,Lámec,Lamek,
987,λάχανον,FL,agriculture /  food,garden plant,hortaliza,plante du jardin / légume,
988,Λεγιών,PN,supernatural beings and powers,Legion,Legión,Légion,
989,λειτουργέω,RI,authority /  worship /  serve,to minister / give service / serve,servir / oficiar,servir / adorer,
990,λειτουργικός,RI,authority /  serve,ministering,servidor,en fonction,
991,λειτουργία,RI,authority /  worship /  serve,service / priestly service / divine service,servicio / ministerio,service / ministère,
992,λειτουργός,RI,people /  authority /  worship /  serve,servant / public servant / priestly minister,servidor público / ministro,serviteur / ministre,
993,λεπρός,BE,people /  health /  diseases,leper / leprous,leproso,lépreux / un homme avec une maladie de peau,
994,λεπτόν,RE,artifacts /  money,lepton / tiny coin,leptón,lepte,
995,Λευιτικός,PN,group /  priesthood,Levitical / of Levi,Levítico,lévitique,
996,Λευί-1,PN,person,Levi,Leví,Lévi,
997,Λευί-2,PN,person,Levi,Leví,Lévi,
998,Λευί-3,PN,person,Levi,Leví,Lévi,
999,Λευί-4,PN,person,Levi,Leví,Lévi,
1000,Λευίτης,PN,group /  priesthood,Levite,Levita,Lévite,
1001,λέντιον,RE,artifacts /  cloth,towel,toalla / paño,serviette,
1002,λέπρα,AT,health /  diseases,leprosy,lepra,lèpre / la maladie de peau,
1003,λέων,FA,mammals,lion,león,lion,
1004,ληνός,RE,constructions /  food,wine press,lagar,pressoir,
1005,λιβανωτός,RE,artifacts /  containers /  perfumes and spices,censer,incensario,encensoir / récipient d'encens,
1006,Λιβερτῖνος,PN,group,Freedmen,Libertos / Libertados,Affranchis / Esclaves libérés,Libertini
1007,Λιβύη,PN,area,Libya,Libia,Libye,
1008,λιθόστρωτον,RE,constructions,Stone Pavement,empedrado,pavé de pierre,
1009,λίβανος,RE,artifacts /  perfumes and spices,frankincense,incienso,encens,
1010,λίνον-1,RE,artifacts /  cloth /  clothing,linen / linen garment,lino,toile,
1011,λίνον-2,RE,artifacts,wick,mecha,toile,
1012,Λίνος,PN,person,Linus,Lino,Lin,
1013,λογικός,MI,attitudes and emotions /  psychological faculties,rational / genuine / true,racional,raisonnable / spirituel,
1014,Λουκᾶς,PN,person,Luke,Lucas,Luc,Lukas
1015,Λούκιος-1,PN,person,Lucius,Lucio,Lucius,
1016,Λούκιος-2,PN,person,Lucius,Lucio,Lucius,
1017,λόγχη,RE,artifacts /  weapons,spear,lanza,lance,
1018,Λυδία,PN,person,Lydia,Lidia,Lydie,
1019,Λυκαονιστί,PN,language,Lycaonian,Licaonio,Lycaonien,
1020,Λυκαονία,PN,area,Lycaonia,Licaonia,Lycaonie,
1021,Λυκία,PN,nature,Lycia,Licia,Lycie,
1022,Λυσανίας,PN,person,Lysanias,Lisanias,Lysanias,
1023,Λυσίας,PN,person,Lysias,Lisias,Lysias,
1024,λυτρόω,MI,"help, protect, save",redeem,liberar / rescatar,racheter,
1025,λυτρωτής,MI,"persons; help, protect, save",deliverer / redeemer,libertador,libérateur,
1026,λυχνία,RE,artifacts /  furnishings,lampstand,lámpara / candelabro,chandelier / porte-lampe,
1027,Λύδδα,PN,settlement,Lydda,Lida,Lydda,
1028,λύκος,FA,mammals /  wild animals,wolf,lobo,loup,
1029,Λύστρα,PN,settlement,Lystra,Listra,Lystre,
1030,λύτρον,MI,"help, protect, save",ransom / means of release,rescate / precio de la libertad,rançon / moyens du rachat / de rédemption,
1031,λύτρωσις,MI,"help, protect, save",redemption / deliverance / liberation,liberación / redención,rédemption / libération,
1032,λύχνος,RE,artifacts,lamp,,lampe,
1033,Λωΐς,PN,person,Lois,Loida,Loïs,
1034,Λώτ,PN,person,Lot,Lot,Loth,
1035,Μαγαδάν,PN,settlement,Magadan,Magadán,Magadan,
1036,Μαγδαληνή,PN,person,Magdalene,Magdalena,Magdala,
1037,Μαγώγ,PN,person /  group,Magog,Magog,Magog,
1038,Μαδιάμ,PN,area,Midian,Madián,Madiân,
1039,μαθητεύω,MI,teaching,be or become a disciple / make disciples / cause people to become followers,ser discípulo / hacer discípulos,trans. faire un disciple de,
1040,μαθητής,MI,teaching /  people,disciple,discípulo,disciple / élève / partisan,
1041,μαθήτρια,MI,teaching /  people,disciple,discípula,femme disciple,
1042,Μαθθαῖος,PN,person,Matthew,Mateo,Matthieu,Matius
1043,Μαθθάτ-1,PN,person,Matthat,Matat,Matthat,
1044,Μαθθάτ-2,PN,person,Matthat,Matat,Matthat,
1045,Μαθθίας,PN,person,Matthias,Matías,Matthias,
1046,Μαθουσαλά,PN,person,Methuselah,Matusalén,Mathousala,
1047,μακαρισμός,AT,attitudes and emotions /  well-being /  blessing and curse,happiness / blessedness,dicha,bonheur / bénédiction,
