vref,target,reference
JOB 17:8,"The upright are astonished at this, and the innocent stirs himself up against the profane.","Upright men shall be astonied at this, and the innocent shall stir up himself against the hypocrite."
JOB 17:9,"And the righteous lays hold [on] his way, || And the clean of hands adds strength.","The righteous also shall hold on his way, and he that hath clean hands shall be stronger and stronger."
JOB 17:10,"But please return and come in, all of you, || And I do not find a wise man among you.","But as for you all, do ye return, and come now: for I cannot find one wise man among you."
JOB 17:11,"My days have passed by, || My plans have been broken off, || The possessions of my heart!","My days are past, my purposes are broken off, even the thoughts of my heart."
JOB 17:12,"They appoint night for day, || Light [is] near because of darkness.",They change the night into day: the light is short because of darkness.
JOB 17:13,"If I wait—Sheol [is] my house, || In darkness I have spread out my bed.","If I wait, the grave is mine house: I have made my bed in the darkness."
JOB 17:14,To corruption I have called: You [are] my father. To the worm: My mother and my sister.,"I have said to corruption, Thou art my father: to the worm, Thou art my mother, and my sister."
JOB 17:15,"And where [is] my hope now? Indeed, my hope, who beholds it?","And where is now my hope? as for my hope, who shall see it?"
JOB 17:16,"You go down [to] the parts of Sheol, || If we may rest together on the dust.”","They shall go down to the bars of the pit, when our rest together is in the dust."
JOB 18:1,And Bildad the Shuhite answers and says:,"Then answered Bildad the Shuhite, and said,"
JOB 18:2,"“When do you set an end to words? Consider, and afterward we speak.","How long will it be ere ye make an end of words? mark, and afterwards we will speak."
JOB 18:3,Why have we been reckoned as livestock? We have been defiled in your eyes!,"Wherefore are we counted as beasts, and reputed vile in your sight?"
JOB 18:4,He is tearing himself in his anger. Is earth forsaken for your sake? And is a rock removed from its place?,He teareth himself in his anger: shall the earth be forsaken for thee? and shall the rock be removed out of his place?
JOB 18:5,"Also, the light of the wicked is extinguished. And there does not shine a spark of his fire.","Yea, the light of the wicked shall be put out, and the spark of his fire shall not shine."
JOB 18:6,"The light has been dark in his tent, || And his lamp over him is extinguished.","The light shall be dark in his tabernacle, and his candle shall be put out with him."
JOB 18:7,"The steps of his strength are restricted, || And his own counsel casts him down.","The steps of his strength shall be straitened, and his own counsel shall cast him down."
JOB 18:8,"For he is sent into a net by his own feet, || And he habitually walks on a snare.","For he is cast into a net by his own feet, and he walketh upon a snare."
JOB 18:9,"A trap seizes on the heel, || The designing prevails over him.","The gin shall take him by the heel, and the robber shall prevail against him."
JOB 18:10,"His cord is hidden in the earth, || And his trap on the path.","The snare is laid for him in the ground, and a trap for him in the way."
JOB 18:11,"Terrors have terrified him all around, || And they have scattered him—at his feet.","Terrors shall make him afraid on every side, and shall drive him to his feet."
JOB 18:12,"His sorrow is hungry, || And calamity is ready at his side.","His strength shall be hungerbitten, and destruction shall be ready at his side."
JOB 18:13,"It consumes the parts of his skin, || Death’s firstborn consumes his parts.",It shall devour the strength of his skin: even the firstborn of death shall devour his strength.
JOB 18:14,"His confidence is drawn from his tent, || And it causes him to step to the king of terrors.","His confidence shall be rooted out of his tabernacle, and it shall bring him to the king of terrors."
JOB 18:15,"It dwells in his tent—out of his provender, || Sulfur is scattered over his habitation.","It shall dwell in his tabernacle, because it is none of his: brimstone shall be scattered upon his habitation."
JOB 18:16,"From beneath his roots are dried up, || And from above his crop is cut off.","His roots shall be dried up beneath, and above shall his branch be cut off."
JOB 18:17,"His memorial has perished from the land, || And he has no name on the street.","His remembrance shall perish from the earth, and he shall have no name in the street."
JOB 18:18,"They thrust him from light to darkness, || And cast him out from the habitable earth.","He shall be driven from light into darkness, and chased out of the world."
JOB 18:19,"He has no continuator, || Nor successor among his people, || And none is remaining in his dwellings.","He shall neither have son nor nephew among his people, nor any remaining in his dwellings."
JOB 18:20,"At this day, those [in the] west have been astonished, || And those [in the] east have taken fright.","They that come after him shall be astonied at his day, as they that went before were affrighted."
JOB 18:21,"Only these [are] dwelling places of the perverse, || And this [is] the place God has not known.”","Surely such are the dwellings of the wicked, and this is the place of him that knoweth not God."
JOB 19:1,And Job answers and says:,"Then Job answered and said,"
JOB 19:2,"“Until when do you afflict my soul, || And bruise me with words?","How long will ye vex my soul, and break me in pieces with words?"
JOB 19:3,"These ten times you put me to shame, you do not blush. You make yourselves strange to me—",These ten times have ye reproached me: ye are not ashamed that ye make yourselves strange to me.
JOB 19:4,"And also—truly, I have erred, || My error remains with me.","And be it indeed that I have erred, mine error remaineth with myself."
JOB 19:5,"If, truly, you magnify yourselves over me, || And decide my reproach against me;","If indeed ye will magnify yourselves against me, and plead against me my reproach:"
JOB 19:6,"Know now, that God turned me upside down, || And has set around His net against me,","Know now that God hath overthrown me, and hath compassed me with his net."
JOB 19:7,"Behold, I cry out—violence, and am not answered, I cry aloud, and there is no judgment.","Behold, I cry out of wrong, but I am not heard: I cry aloud, but there is no judgment."
JOB 19:8,"He hedged up my way, and I do not pass over, || And He places darkness on my paths.","He hath fenced up my way that I cannot pass, and he hath set darkness in my paths."
JOB 19:9,"He has stripped my honor from off me, || And He turns the crown from my head.","He hath stripped me of my glory, and taken the crown from my head."
JOB 19:10,"He breaks me down all around, and I go, || And removes my hope like a tree.","He hath destroyed me on every side, and I am gone: and mine hope hath he removed like a tree."
JOB 19:11,"And He kindles His anger against me, || And reckons me to Him as His adversaries.","He hath also kindled his wrath against me, and he counteth me unto him as one of his enemies."
JOB 19:12,"His troops come in together, || And they raise up their way against me, || And encamp around my tent.","His troops come together, and raise up their way against me, and encamp round about my tabernacle."
JOB 19:13,"He has put my brothers far off from me, || And my acquaintances have surely been estranged from me.","He hath put my brethren far from me, and mine acquaintance are verily estranged from me."
JOB 19:14,"My neighbors have ceased || And my familiar friends have forgotten me,","My kinsfolk have failed, and my familiar friends have forgotten me."
JOB 19:15,"Sojourners of my house and my maids, || Reckon me for a stranger; I have been an alien in their eyes.","They that dwell in mine house, and my maids, count me for a stranger: I am an alien in their sight."
JOB 19:16,"I have called to my servant, || And he does not answer, || With my mouth I make supplication to him.","I called my servant, and he gave me no answer; I intreated him with my mouth."
JOB 19:17,"My spirit is strange to my wife, || And my favors to the sons of my [mother’s] womb.","My breath is strange to my wife, though I intreated for the children’s sake of mine own body."
JOB 19:18,"Also sucklings have despised me, I rise, and they speak against me.","Yea, young children despised me; I arose, and they spake against me."
JOB 19:19,"All the men of my counsel detest me, || And those I have loved, || Have been turned against me.",All my inward friends abhorred me: and they whom I loved are turned against me.
JOB 19:20,"To my skin and to my flesh || My bone has cleaved, || And I deliver myself with the skin of my teeth.","My bone cleaveth to my skin and to my flesh, and I am escaped with the skin of my teeth."
JOB 19:21,"Pity me, pity me, you my friends, || For the hand of God has struck against me.","Have pity upon me, have pity upon me, O ye my friends; for the hand of God hath touched me."
JOB 19:22,Why do you pursue me as God? And are not satisfied with my flesh?,"Why do ye persecute me as God, and are not satisfied with my flesh?"
JOB 19:23,"Who grants now, that my words may be written? Who grants that they may be inscribed in a scroll?",Oh that my words were now written! oh that they were printed in a book!
JOB 19:24,With a pen of iron and lead—They may be hewn in a rock forever.,That they were graven with an iron pen and lead in the rock for ever!
JOB 19:25,"That—I have known my Redeemer, || The Living and the Last, || For He raises the dust.","For I know that my redeemer liveth, and that he shall stand at the latter day upon the earth:"
JOB 19:26,"And after my skin has surrounded this [body], || Then from my flesh I see God—","And though after my skin worms destroy this body, yet in my flesh shall I see God:"
JOB 19:27,"Whom I see on my side, || And my eyes have beheld, and not a stranger, || My reins have been consumed in my bosom.","Whom I shall see for myself, and mine eyes shall behold, and not another; though my reins be consumed within me."
JOB 19:28,"But you say, Why do we pursue after him? And the root of the matter has been found in me.","But ye should say, Why persecute we him, seeing the root of the matter is found in me?"
JOB 19:29,"Be afraid because of the sword, || For the punishments of the sword [are] furious, || That you may know that [there is] a judgment.”","Be ye afraid of the sword: for wrath bringeth the punishments of the sword, that ye may know there is a judgment."
JOB 20:1,And Zophar the Naamathite answers and says:,"Then answered Zophar the Naamathite, and said,"
JOB 20:2,"“Therefore my thoughts cause me to answer, || And because of my sensations in me.","Therefore do my thoughts cause me to answer, and for this I make haste."
JOB 20:3,"I hear the discipline of my shame, || And the spirit of my understanding causes me to answer:","I have heard the check of my reproach, and the spirit of my understanding causeth me to answer."
JOB 20:4,Have you known this from antiquity? Since the placing of man on earth?,"Knowest thou not this of old, since man was placed upon earth,"
JOB 20:5,"That the singing of the wicked [is] short, || And the joy of the profane for a moment,","That the triumphing of the wicked is short, and the joy of the hypocrite but for a moment?"
JOB 20:6,"Though his excellence goes up to the heavens, || He strikes his head against a cloud—","Though his excellency mount up to the heavens, and his head reach unto the clouds;"
JOB 20:7,"He perishes as his own dung forever, || His beholders say, Where [is] he?","Yet he shall perish for ever like his own dung: they which have seen him shall say, Where is he?"
JOB 20:8,"He flees as a dream, and they do not find him, || And he is driven away as a vision of the night,","He shall fly away as a dream, and shall not be found: yea, he shall be chased away as a vision of the night."
JOB 20:9,"The eye has not seen him, and does not add. And his place does not behold him again.",The eye also which saw him shall see him no more; neither shall his place any more behold him.
JOB 20:10,"His sons oppress the poor, || And his hands give back his wealth.","His children shall seek to please the poor, and his hands shall restore their goods."
JOB 20:11,"His bones have been full of his youth, and it lies down with him on the dust.","His bones are full of the sin of his youth, which shall lie down with him in the dust."
JOB 20:12,"Though he sweetens evil in his mouth, hides it under his tongue,","Though wickedness be sweet in his mouth, though he hide it under his tongue;"
JOB 20:13,"has pity on it, and does not forsake it, and keeps it back in the midst of his palate,","Though he spare it, and forsake it not; but keep it still within his mouth:"
JOB 20:14,"his food is turned in his bowels, the bitterness of cobras [is] in his heart.","Yet his meat in his bowels is turned, it is the gall of asps within him."
JOB 20:15,"He has swallowed wealth, and vomits it. God drives it out from his belly.","He hath swallowed down riches, and he shall vomit them up again: God shall cast them out of his belly."
JOB 20:16,"He sucks [the] gall of cobras, the tongue of a viper slays him.",He shall suck the poison of asps: the viper’s tongue shall slay him.
JOB 20:17,"He does not look on streams, || Flowing of brooks of honey and butter.","He shall not see the rivers, the floods, the brooks of honey and butter."
JOB 20:18,"He is giving back [what] he labored for, and does not consume [it]; As a bulwark [is] his exchange, and he does not exult.","That which he laboured for shall he restore, and shall not swallow it down: according to his substance shall the restitution be, and he shall not rejoice therein."
JOB 20:19,"For he oppressed—he forsook the poor, || He has taken a house away violently, || And he does not build it.",Because he hath oppressed and hath forsaken the poor; because he hath violently taken away an house which he builded not;
JOB 20:20,For he has not known ease in his belly. With his desirable thing he does not deliver himself.,"Surely he shall not feel quietness in his belly, he shall not save of that which he desired."
JOB 20:21,"There is not a remnant to his food, || Therefore his good does not stay.",There shall none of his meat be left; therefore shall no man look for his goods.
JOB 20:22,In the fullness of his sufficiency he is constricted. Every perverse hand meets him.,In the fulness of his sufficiency he shall be in straits: every hand of the wicked shall come upon him.
JOB 20:23,"It comes to pass, at the filling of his belly, || He sends forth against him || The fierceness of His anger, || Indeed, He rains on him in his eating.","When he is about to fill his belly, God shall cast the fury of his wrath upon him, and shall rain it upon him while he is eating."
JOB 20:24,"He flees from an iron weapon, || A bow of bronze passes through him.","He shall flee from the iron weapon, and the bow of steel shall strike him through."
JOB 20:25,"One has drawn, || And it comes out from the body, || And a glittering weapon proceeds from his gall. Terrors [are] on him.","It is drawn, and cometh out of the body; yea, the glittering sword cometh out of his gall: terrors are upon him."
JOB 20:26,"All darkness is hid for his treasures, || A fire not blown consumes him, || The remnant is broken in his tent.",All darkness shall be hid in his secret places: a fire not blown shall consume him; it shall go ill with him that is left in his tabernacle.
JOB 20:27,"The heavens reveal his iniquity, || And earth is raising itself against him.",The heaven shall reveal his iniquity; and the earth shall rise up against him.
JOB 20:28,"The increase of his house is removed, || Poured forth in a day of His anger.","The increase of his house shall depart, and his goods shall flow away in the day of his wrath."
JOB 20:29,This [is] the portion of a wicked man from God. And an inheritance appointed him by God.”,"This is the portion of a wicked man from God, and the heritage appointed unto him by God."
JOB 21:1,And Job answers and says:,"But Job answered and said,"
JOB 21:2,"“Hear my word diligently, || And this is your consolation.","Hear diligently my speech, and let this be your consolations."
JOB 21:3,"Bear with me, and I speak, || And after my speaking—you may deride.","Suffer me that I may speak; and after that I have spoken, mock on."
JOB 21:4,"[Is] my complaint [against] man? And if [so], why may my temper not become short?","As for me, is my complaint to man? and if it were so, why should not my spirit be troubled?"
JOB 21:5,"Turn to me, and be astonished, || And put hand to mouth.","Mark me, and be astonished, and lay your hand upon your mouth."
JOB 21:6,"Indeed, if I have remembered, then I have been troubled. And my flesh has taken fright.","Even when I remember I am afraid, and trembling taketh hold on my flesh."
JOB 21:7,"Why do the wicked live? They have become old, || Indeed, they have been mighty in wealth.","Wherefore do the wicked live, become old, yea, are mighty in power?"
JOB 21:8,"Their seed is established, || Before their face with them, || And their offspring before their eyes.","Their seed is established in their sight with them, and their offspring before their eyes."
JOB 21:9,"Their houses [are] peace without fear, || Nor [is] a rod of God on them.","Their houses are safe from fear, neither is the rod of God upon them."
JOB 21:10,"His bullock breeds without fail. His cow brings forth safely, and does not miscarry.","Their bull gendereth, and faileth not; their cow calveth, and casteth not her calf."
JOB 21:11,"They send forth their sucklings as a flock, || And their children skip,","They send forth their little ones like a flock, and their children dance."
JOB 21:12,"They lift [themselves] up at timbrel and harp, || And rejoice at the sound of a pipe.","They take the timbrel and harp, and rejoice at the sound of the organ."
JOB 21:13,"They wear out their days in good, || And in a moment go down [to] Sheol.","They spend their days in wealth, and in a moment go down to the grave."
JOB 21:14,"And they say to God, Turn aside from us, || And the knowledge of Your ways || We have not desired.","Therefore they say unto God, Depart from us; for we desire not the knowledge of thy ways."
JOB 21:15,What [is] the Mighty One that we serve Him? And what do we profit when we meet with Him?,"What is the Almighty, that we should serve him? and what profit should we have, if we pray unto him?"
JOB 21:16,"Behold, their good [is] not in their hand || (The counsel of the wicked || Has been far from me).","Lo, their good is not in their hand: the counsel of the wicked is far from me."
JOB 21:17,"How often is the lamp of the wicked extinguished, || And their calamity comes on them? He apportions pangs in His anger.",How oft is the candle of the wicked put out! and how oft cometh their destruction upon them! God distributeth sorrows in his anger.
JOB 21:18,"They are as straw before wind, || And as chaff a windstorm has stolen away,","They are as stubble before the wind, and as chaff that the storm carrieth away."
