vref,target,reference
EXO 6:9,"¶ And Moses spake so unto the children of Israel: but they hearkened not unto Moses for anguish of spirit, and for cruel bondage.","¶ And Moses spake so unto the children of Israel: but they hearkened not unto Moses for anguish of spirit, and for cruel bondage."
EXO 6:10,"And the LORD spake unto Moses, saying,","And the LORD spake unto Moses, saying,"
EXO 6:11,"Go in, speak unto Pharaoh king of Egypt, that he let the children of Israel go out of his land.","Go in, speak unto Pharaoh king of Egypt, that he let the children of Israel go out of his land."
EXO 6:12,"And Moses spake before the LORD, saying, Behold, the children of Israel have not hearkened unto me; how then shall Pharaoh hear me, who am of uncircumcised lips?","And Moses spake before the LORD, saying, Behold, the children of Israel have not hearkened unto me; how then shall Pharaoh hear me, who am of uncircumcised lips?"
EXO 6:13,"And the LORD spake unto Moses and unto Aaron, and gave them a charge unto the children of Israel, and unto Pharaoh king of Egypt, to bring the children of Israel out of the land of Egypt.","And the LORD spake unto Moses and unto Aaron, and gave them a charge unto the children of Israel, and unto Pharaoh king of Egypt, to bring the children of Israel out of the land of Egypt."
EXO 6:14,"¶ These be the heads of their fathers’ houses: The sons of Reuben the firstborn of Israel; Hanoch, and Pallu, Hezron, and Carmi: these be the families of Reuben.","¶ These be the heads of their fathers’ houses: The sons of Reuben the firstborn of Israel; Hanoch, and Pallu, Hezron, and Carmi: these be the families of Reuben."
EXO 6:15,"And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these are the families of Simeon.","And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these are the families of Simeon."
EXO 6:16,"¶ And these are the names of the sons of Levi according to their generations; Gershon, and Kohath, and Merari: and the years of the life of Levi were an hundred thirty and seven years.","¶ And these are the names of the sons of Levi according to their generations; Gershon, and Kohath, and Merari: and the years of the life of Levi were an hundred thirty and seven years."
EXO 6:17,"The sons of Gershon; Libni, and Shimi, according to their families.","The sons of Gershon; Libni, and Shimi, according to their families."
EXO 6:18,"And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel: and the years of the life of Kohath were an hundred thirty and three years.","And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel: and the years of the life of Kohath were an hundred thirty and three years."
EXO 6:19,And the sons of Merari; Mahali and Mushi: these are the families of Levi according to their generations.,And the sons of Merari; Mahali and Mushi: these are the families of Levi according to their generations.
EXO 6:20,And Amram took him Jochebed his father’s sister to wife; and she bare him Aaron and Moses: and the years of the life of Amram were an hundred and thirty and seven years.,And Amram took him Jochebed his father’s sister to wife; and she bare him Aaron and Moses: and the years of the life of Amram were an hundred and thirty and seven years.
EXO 6:21,"¶ And the sons of Izhar; Korah, and Nepheg, and Zichri.","¶ And the sons of Izhar; Korah, and Nepheg, and Zichri."
EXO 6:22,"And the sons of Uzziel; Mishael, and Elzaphan, and Zithri.","And the sons of Uzziel; Mishael, and Elzaphan, and Zithri."
EXO 6:23,"And Aaron took him Elisheba, daughter of Amminadab, sister of Naashon, to wife; and she bare him Nadab, and Abihu, Eleazar, and Ithamar.","And Aaron took him Elisheba, daughter of Amminadab, sister of Naashon, to wife; and she bare him Nadab, and Abihu, Eleazar, and Ithamar."
EXO 6:24,"And the sons of Korah; Assir, and Elkanah, and Abiasaph: these are the families of the Korhites.","And the sons of Korah; Assir, and Elkanah, and Abiasaph: these are the families of the Korhites."
EXO 6:25,And Eleazar Aaron’s son took him one of the daughters of Putiel to wife; and she bare him Phinehas: these are the heads of the fathers of the Levites according to their families.,And Eleazar Aaron’s son took him one of the daughters of Putiel to wife; and she bare him Phinehas: these are the heads of the fathers of the Levites according to their families.
EXO 6:26,"These are that Aaron and Moses, to whom the LORD said, Bring out the children of Israel from the land of Egypt according to their armies.","These are that Aaron and Moses, to whom the LORD said, Bring out the children of Israel from the land of Egypt according to their armies."
EXO 6:27,"These are they which spake to Pharaoh king of Egypt, to bring out the children of Israel from Egypt: these are that Moses and Aaron.","These are they which spake to Pharaoh king of Egypt, to bring out the children of Israel from Egypt: these are that Moses and Aaron."
EXO 6:28,"¶ And it came to pass on the day when the LORD spake unto Moses in the land of Egypt,","¶ And it came to pass on the day when the LORD spake unto Moses in the land of Egypt,"
EXO 6:29,"That the LORD spake unto Moses, saying, I am the LORD: speak thou unto Pharaoh king of Egypt all that I say unto thee.","That the LORD spake unto Moses, saying, I am the LORD: speak thou unto Pharaoh king of Egypt all that I say unto thee."
EXO 6:30,"And Moses said before the LORD, Behold, I am of uncircumcised lips, and how shall Pharaoh hearken unto me?","And Moses said before the LORD, Behold, I am of uncircumcised lips, and how shall Pharaoh hearken unto me?"
EXO 7:1,"And the LORD said unto Moses, See, I have made thee a god to Pharaoh: and Aaron thy brother shall be thy prophet.","And the LORD said unto Moses, See, I have made thee a god to Pharaoh: and Aaron thy brother shall be thy prophet."
EXO 7:2,"Thou shalt speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he send the children of Israel out of his land.","Thou shalt speak all that I command thee: and Aaron thy brother shall speak unto Pharaoh, that he send the children of Israel out of his land."
EXO 7:3,"And I will harden Pharaoh’s heart, and multiply my signs and my wonders in the land of Egypt.","And I will harden Pharaoh’s heart, and multiply my signs and my wonders in the land of Egypt."
EXO 7:4,"But Pharaoh shall not hearken unto you, that I may lay my hand upon Egypt, and bring forth mine armies, and my people the children of Israel, out of the land of Egypt by great judgments.","But Pharaoh shall not hearken unto you, that I may lay my hand upon Egypt, and bring forth mine armies, and my people the children of Israel, out of the land of Egypt by great judgments."
EXO 7:5,"And the Egyptians shall know that I am the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them.","And the Egyptians shall know that I am the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them."
EXO 7:6,"And Moses and Aaron did as the LORD commanded them, so did they.","And Moses and Aaron did as the LORD commanded them, so did they."
EXO 7:7,"And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.","And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh."
EXO 7:8,"¶ And the LORD spake unto Moses and unto Aaron, saying,","¶ And the LORD spake unto Moses and unto Aaron, saying,"
EXO 7:9,"When Pharaoh shall speak unto you, saying, Shew a miracle for you: then thou shalt say unto Aaron, Take thy rod, and cast it before Pharaoh, and it shall become a serpent.","When Pharaoh shall speak unto you, saying, Shew a miracle for you: then thou shalt say unto Aaron, Take thy rod, and cast it before Pharaoh, and it shall become a serpent."
EXO 7:10,"¶ And Moses and Aaron went in unto Pharaoh, and they did so as the LORD had commanded: and Aaron cast down his rod before Pharaoh, and before his servants, and it became a serpent.","¶ And Moses and Aaron went in unto Pharaoh, and they did so as the LORD had commanded: and Aaron cast down his rod before Pharaoh, and before his servants, and it became a serpent."
EXO 7:11,"Then Pharaoh also called the wise men and the sorcerers: now the magicians of Egypt, they also did in like manner with their enchantments.","Then Pharaoh also called the wise men and the sorcerers: now the magicians of Egypt, they also did in like manner with their enchantments."
EXO 7:12,"For they cast down every man his rod, and they became serpents: but Aaron’s rod swallowed up their rods.","For they cast down every man his rod, and they became serpents: but Aaron’s rod swallowed up their rods."
EXO 7:13,"And he hardened Pharaoh’s heart, that he hearkened not unto them; as the LORD had said.","And he hardened Pharaoh’s heart, that he hearkened not unto them; as the LORD had said."
EXO 7:14,"¶ And the LORD said unto Moses, Pharaoh’s heart is hardened, he refuseth to let the people go.","¶ And the LORD said unto Moses, Pharaoh’s heart is hardened, he refuseth to let the people go."
EXO 7:15,"Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river’s brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.","Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river’s brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand."
EXO 7:16,"And thou shalt say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou wouldest not hear.","And thou shalt say unto him, The LORD God of the Hebrews hath sent me unto thee, saying, Let my people go, that they may serve me in the wilderness: and, behold, hitherto thou wouldest not hear."
EXO 7:17,"Thus saith the LORD, In this thou shalt know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood.","Thus saith the LORD, In this thou shalt know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood."
EXO 7:18,"And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall lothe to drink of the water of the river.","And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall lothe to drink of the water of the river."
EXO 7:19,"¶ And the LORD spake unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand upon the waters of Egypt, upon their streams, upon their rivers, and upon their ponds, and upon all their pools of water, that they may become blood; and that there may be blood throughout all the land of Egypt, both in vessels of wood, and in vessels of stone.","¶ And the LORD spake unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand upon the waters of Egypt, upon their streams, upon their rivers, and upon their ponds, and upon all their pools of water, that they may become blood; and that there may be blood throughout all the land of Egypt, both in vessels of wood, and in vessels of stone."
EXO 7:20,"And Moses and Aaron did so, as the LORD commanded; and he lifted up the rod, and smote the waters that were in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that were in the river were turned to blood.","And Moses and Aaron did so, as the LORD commanded; and he lifted up the rod, and smote the waters that were in the river, in the sight of Pharaoh, and in the sight of his servants; and all the waters that were in the river were turned to blood."
EXO 7:21,"And the fish that was in the river died; and the river stank, and the Egyptians could not drink of the water of the river; and there was blood throughout all the land of Egypt.","And the fish that was in the river died; and the river stank, and the Egyptians could not drink of the water of the river; and there was blood throughout all the land of Egypt."
EXO 7:22,"And the magicians of Egypt did so with their enchantments: and Pharaoh’s heart was hardened, neither did he hearken unto them; as the LORD had said.","And the magicians of Egypt did so with their enchantments: and Pharaoh’s heart was hardened, neither did he hearken unto them; as the LORD had said."
EXO 7:23,"And Pharaoh turned and went into his house, neither did he set his heart to this also.","And Pharaoh turned and went into his house, neither did he set his heart to this also."
EXO 7:24,And all the Egyptians digged round about the river for water to drink; for they could not drink of the water of the river.,And all the Egyptians digged round about the river for water to drink; for they could not drink of the water of the river.
EXO 7:25,"And seven days were fulfilled, after that the LORD had smitten the river.","And seven days were fulfilled, after that the LORD had smitten the river."
EXO 7:26,"And the LORD spake unto Moses, Go unto Pharaoh, and say unto him, Thus saith the LORD, Let my people go, that they may serve me.","And the LORD spake unto Moses, Go unto Pharaoh, and say unto him, Thus saith the LORD, Let my people go, that they may serve me."
EXO 7:27,"And if thou refuse to let them go, behold, I will smite all thy borders with frogs:","And if thou refuse to let them go, behold, I will smite all thy borders with frogs:"
EXO 7:28,"And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and into thine ovens, and into thy kneadingtroughs:","And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and into thine ovens, and into thy kneadingtroughs:"
EXO 7:29,"And the frogs shall come up both on thee, and upon thy people, and upon all thy servants.","And the frogs shall come up both on thee, and upon thy people, and upon all thy servants."
EXO 8:1,"¶ And the LORD spake unto Moses, Say unto Aaron, Stretch forth thine hand with thy rod over the streams, over the rivers, and over the ponds, and cause frogs to come up upon the land of Egypt.","¶ And the LORD spake unto Moses, Say unto Aaron, Stretch forth thine hand with thy rod over the streams, over the rivers, and over the ponds, and cause frogs to come up upon the land of Egypt."
EXO 8:2,"And Aaron stretched out his hand over the waters of Egypt; and the frogs came up, and covered the land of Egypt.","And Aaron stretched out his hand over the waters of Egypt; and the frogs came up, and covered the land of Egypt."
EXO 8:3,"And the magicians did so with their enchantments, and brought up frogs upon the land of Egypt.","And the magicians did so with their enchantments, and brought up frogs upon the land of Egypt."
EXO 8:4,"¶ Then Pharaoh called for Moses and Aaron, and said, Intreat the LORD, that he may take away the frogs from me, and from my people; and I will let the people go, that they may do sacrifice unto the LORD.","¶ Then Pharaoh called for Moses and Aaron, and said, Intreat the LORD, that he may take away the frogs from me, and from my people; and I will let the people go, that they may do sacrifice unto the LORD."
EXO 8:5,"And Moses said unto Pharaoh, Glory over me: when shall I intreat for thee, and for thy servants, and for thy people, to destroy the frogs from thee and thy houses, that they may remain in the river only?","And Moses said unto Pharaoh, Glory over me: when shall I intreat for thee, and for thy servants, and for thy people, to destroy the frogs from thee and thy houses, that they may remain in the river only?"
EXO 8:6,"And he said, To morrow. And he said, Be it according to thy word: that thou mayest know that there is none like unto the LORD our God.","And he said, To morrow. And he said, Be it according to thy word: that thou mayest know that there is none like unto the LORD our God."
EXO 8:7,"And the frogs shall depart from thee, and from thy houses, and from thy servants, and from thy people; they shall remain in the river only.","And the frogs shall depart from thee, and from thy houses, and from thy servants, and from thy people; they shall remain in the river only."
EXO 8:8,And Moses and Aaron went out from Pharaoh: and Moses cried unto the LORD because of the frogs which he had brought against Pharaoh.,And Moses and Aaron went out from Pharaoh: and Moses cried unto the LORD because of the frogs which he had brought against Pharaoh.
EXO 8:9,"And the LORD did according to the word of Moses; and the frogs died out of the houses, out of the villages, and out of the fields.","And the LORD did according to the word of Moses; and the frogs died out of the houses, out of the villages, and out of the fields."
EXO 8:10,And they gathered them together upon heaps: and the land stank.,And they gathered them together upon heaps: and the land stank.
EXO 8:11,"But when Pharaoh saw that there was respite, he hardened his heart, and hearkened not unto them; as the LORD had said.","But when Pharaoh saw that there was respite, he hardened his heart, and hearkened not unto them; as the LORD had said."
EXO 8:12,"¶ And the LORD said unto Moses, Say unto Aaron, Stretch out thy rod, and smite the dust of the land, that it may become lice throughout all the land of Egypt.","¶ And the LORD said unto Moses, Say unto Aaron, Stretch out thy rod, and smite the dust of the land, that it may become lice throughout all the land of Egypt."
EXO 8:13,"And they did so; for Aaron stretched out his hand with his rod, and smote the dust of the earth, and it became lice in man, and in beast; all the dust of the land became lice throughout all the land of Egypt.","And they did so; for Aaron stretched out his hand with his rod, and smote the dust of the earth, and it became lice in man, and in beast; all the dust of the land became lice throughout all the land of Egypt."
EXO 8:14,"And the magicians did so with their enchantments to bring forth lice, but they could not: so there were lice upon man, and upon beast.","And the magicians did so with their enchantments to bring forth lice, but they could not: so there were lice upon man, and upon beast."
EXO 8:15,"Then the magicians said unto Pharaoh, This is the finger of God: and Pharaoh’s heart was hardened, and he hearkened not unto them; as the LORD had said.","Then the magicians said unto Pharaoh, This is the finger of God: and Pharaoh’s heart was hardened, and he hearkened not unto them; as the LORD had said."
EXO 8:16,"¶ And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh; lo, he cometh forth to the water; and say unto him, Thus saith the LORD, Let my people go, that they may serve me.","¶ And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh; lo, he cometh forth to the water; and say unto him, Thus saith the LORD, Let my people go, that they may serve me."
EXO 8:17,"Else, if thou wilt not let my people go, behold, I will send swarms of flies upon thee, and upon thy servants, and upon thy people, and into thy houses: and the houses of the Egyptians shall be full of swarms of flies, and also the ground whereon they are.","Else, if thou wilt not let my people go, behold, I will send swarms of flies upon thee, and upon thy servants, and upon thy people, and into thy houses: and the houses of the Egyptians shall be full of swarms of flies, and also the ground whereon they are."
EXO 8:18,"And I will sever in that day the land of Goshen, in which my people dwell, that no swarms of flies shall be there; to the end thou mayest know that I am the LORD in the midst of the earth.","And I will sever in that day the land of Goshen, in which my people dwell, that no swarms of flies shall be there; to the end thou mayest know that I am the LORD in the midst of the earth."
EXO 8:19,And I will put a division between my people and thy people: to morrow shall this sign be.,And I will put a division between my people and thy people: to morrow shall this sign be.
EXO 8:20,"And the LORD did so; and there came a grievous swarm of flies into the house of Pharaoh, and into his servants’ houses, and into all the land of Egypt: the land was corrupted by reason of the swarm of flies.","And the LORD did so; and there came a grievous swarm of flies into the house of Pharaoh, and into his servants’ houses, and into all the land of Egypt: the land was corrupted by reason of the swarm of flies."
EXO 8:21,"¶ And Pharaoh called for Moses and for Aaron, and said, Go ye, sacrifice to your God in the land.","¶ And Pharaoh called for Moses and for Aaron, and said, Go ye, sacrifice to your God in the land."
EXO 8:22,"And Moses said, It is not meet so to do; for we shall sacrifice the abomination of the Egyptians to the LORD our God: lo, shall we sacrifice the abomination of the Egyptians before their eyes, and will they not stone us?","And Moses said, It is not meet so to do; for we shall sacrifice the abomination of the Egyptians to the LORD our God: lo, shall we sacrifice the abomination of the Egyptians before their eyes, and will they not stone us?"
EXO 8:23,"We will go three days’ journey into the wilderness, and sacrifice to the LORD our God, as he shall command us.","We will go three days’ journey into the wilderness, and sacrifice to the LORD our God, as he shall command us."
EXO 8:24,"And Pharaoh said, I will let you go, that ye may sacrifice to the LORD your God in the wilderness; only ye shall not go very far away: intreat for me.","And Pharaoh said, I will let you go, that ye may sacrifice to the LORD your God in the wilderness; only ye shall not go very far away: intreat for me."
EXO 8:25,"And Moses said, Behold, I go out from thee, and I will intreat the LORD that the swarms of flies may depart from Pharaoh, from his servants, and from his people, to morrow: but let not Pharaoh deal deceitfully any more in not letting the people go to sacrifice to the LORD.","And Moses said, Behold, I go out from thee, and I will intreat the LORD that the swarms of flies may depart from Pharaoh, from his servants, and from his people, to morrow: but let not Pharaoh deal deceitfully any more in not letting the people go to sacrifice to the LORD."
EXO 8:26,"And Moses went out from Pharaoh, and intreated the LORD.","And Moses went out from Pharaoh, and intreated the LORD."
EXO 8:27,"And the LORD did according to the word of Moses; and he removed the swarms of flies from Pharaoh, from his servants, and from his people; there remained not one.","And the LORD did according to the word of Moses; and he removed the swarms of flies from Pharaoh, from his servants, and from his people; there remained not one."
EXO 8:28,"And Pharaoh hardened his heart at this time also, neither would he let the people go.","And Pharaoh hardened his heart at this time also, neither would he let the people go."
EXO 9:1,"Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.","Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me."
EXO 9:2,"For if thou refuse to let them go, and wilt hold them still,","For if thou refuse to let them go, and wilt hold them still,"
EXO 9:3,"Behold, the hand of the LORD is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep: there shall be a very grievous murrain.","Behold, the hand of the LORD is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep: there shall be a very grievous murrain."
EXO 9:4,And the LORD shall sever between the cattle of Israel and the cattle of Egypt: and there shall nothing die of all that is the children’s of Israel.,And the LORD shall sever between the cattle of Israel and the cattle of Egypt: and there shall nothing die of all that is the children’s of Israel.
EXO 9:5,"And the LORD appointed a set time, saying, To morrow the LORD shall do this thing in the land.","And the LORD appointed a set time, saying, To morrow the LORD shall do this thing in the land."
EXO 9:6,"And the LORD did that thing on the morrow, and all the cattle of Egypt died: but of the cattle of the children of Israel died not one.","And the LORD did that thing on the morrow, and all the cattle of Egypt died: but of the cattle of the children of Israel died not one."
EXO 9:7,"And Pharaoh sent, and, behold, there was not one of the cattle of the Israelites dead. And the heart of Pharaoh was hardened, and he did not let the people go.","And Pharaoh sent, and, behold, there was not one of the cattle of the Israelites dead. And the heart of Pharaoh was hardened, and he did not let the people go."
EXO 9:8,"¶ And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.","¶ And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh."
EXO 9:9,"And it shall become small dust in all the land of Egypt, and shall be a boil breaking forth with blains upon man, and upon beast, throughout all the land of Egypt.","And it shall become small dust in all the land of Egypt, and shall be a boil breaking forth with blains upon man, and upon beast, throughout all the land of Egypt."
EXO 9:10,"And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man, and upon beast.","And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man, and upon beast."
EXO 9:11,"And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians.","And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians."
EXO 9:12,"And the LORD hardened the heart of Pharaoh, and he hearkened not unto them; as the LORD had spoken unto Moses.","And the LORD hardened the heart of Pharaoh, and he hearkened not unto them; as the LORD had spoken unto Moses."
EXO 9:13,"¶ And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.","¶ And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh, and say unto him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me."
EXO 9:14,"For I will at this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that there is none like me in all the earth.","For I will at this time send all my plagues upon thine heart, and upon thy servants, and upon thy people; that thou mayest know that there is none like me in all the earth."
EXO 9:15,"For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth.","For now I will stretch out my hand, that I may smite thee and thy people with pestilence; and thou shalt be cut off from the earth."
EXO 9:16,"And in very deed for this cause have I raised thee up, for to shew in thee my power; and that my name may be declared throughout all the earth.","And in very deed for this cause have I raised thee up, for to shew in thee my power; and that my name may be declared throughout all the earth."
EXO 9:17,"As yet exaltest thou thyself against my people, that thou wilt not let them go?","As yet exaltest thou thyself against my people, that thou wilt not let them go?"
EXO 9:18,"Behold, to morrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the foundation thereof even until now.","Behold, to morrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the foundation thereof even until now."
EXO 9:19,"Send therefore now, and gather thy cattle, and all that thou hast in the field; for upon every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die.","Send therefore now, and gather thy cattle, and all that thou hast in the field; for upon every man and beast which shall be found in the field, and shall not be brought home, the hail shall come down upon them, and they shall die."
EXO 9:20,He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses:,He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses:
EXO 9:21,And he that regarded not the word of the LORD left his servants and his cattle in the field.,And he that regarded not the word of the LORD left his servants and his cattle in the field.
EXO 9:22,"¶ And the LORD said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt.","¶ And the LORD said unto Moses, Stretch forth thine hand toward heaven, that there may be hail in all the land of Egypt, upon man, and upon beast, and upon every herb of the field, throughout the land of Egypt."
EXO 9:23,"And Moses stretched forth his rod toward heaven: and the LORD sent thunder and hail, and the fire ran along upon the ground; and the LORD rained hail upon the land of Egypt.","And Moses stretched forth his rod toward heaven: and the LORD sent thunder and hail, and the fire ran along upon the ground; and the LORD rained hail upon the land of Egypt."
EXO 9:24,"So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation.","So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation."
EXO 9:25,"And the hail smote throughout all the land of Egypt all that was in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field.","And the hail smote throughout all the land of Egypt all that was in the field, both man and beast; and the hail smote every herb of the field, and brake every tree of the field."
EXO 9:26,"Only in the land of Goshen, where the children of Israel were, was there no hail.","Only in the land of Goshen, where the children of Israel were, was there no hail."
EXO 9:27,"¶ And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time: the LORD is righteous, and I and my people are wicked.","¶ And Pharaoh sent, and called for Moses and Aaron, and said unto them, I have sinned this time: the LORD is righteous, and I and my people are wicked."
EXO 9:28,"Intreat the LORD (for it is enough) that there be no more mighty thunderings and hail; and I will let you go, and ye shall stay no longer.","Intreat the LORD (for it is enough) that there be no more mighty thunderings and hail; and I will let you go, and ye shall stay no longer."
EXO 9:29,"And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD’s.","And Moses said unto him, As soon as I am gone out of the city, I will spread abroad my hands unto the LORD; and the thunder shall cease, neither shall there be any more hail; that thou mayest know how that the earth is the LORD’s."
EXO 9:30,"But as for thee and thy servants, I know that ye will not yet fear the LORD God.","But as for thee and thy servants, I know that ye will not yet fear the LORD God."
EXO 9:31,"And the flax and the barley was smitten: for the barley was in the ear, and the flax was bolled.","And the flax and the barley was smitten: for the barley was in the ear, and the flax was bolled."
EXO 9:32,But the wheat and the rie were not smitten: for they were not grown up.,But the wheat and the rie were not smitten: for they were not grown up.
EXO 9:33,"And Moses went out of the city from Pharaoh, and spread abroad his hands unto the LORD: and the thunders and hail ceased, and the rain was not poured upon the earth.","And Moses went out of the city from Pharaoh, and spread abroad his hands unto the LORD: and the thunders and hail ceased, and the rain was not poured upon the earth."
EXO 9:34,"And when Pharaoh saw that the rain and the hail and the thunders were ceased, he sinned yet more, and hardened his heart, he and his servants.","And when Pharaoh saw that the rain and the hail and the thunders were ceased, he sinned yet more, and hardened his heart, he and his servants."
EXO 9:35,"And the heart of Pharaoh was hardened, neither would he let the children of Israel go; as the LORD had spoken by Moses.","And the heart of Pharaoh was hardened, neither would he let the children of Israel go; as the LORD had spoken by Moses."
EXO 10:1,"And the LORD said unto Moses, Go in unto Pharaoh: for I have hardened his heart, and the heart of his servants, that I might shew these my signs before him:","And the LORD said unto Moses, Go in unto Pharaoh: for I have hardened his heart, and the heart of his servants, that I might shew these my signs before him:"
EXO 10:2,"And that thou mayest tell in the ears of thy son, and of thy son’s son, what things I have wrought in Egypt, and my signs which I have done among them; that ye may know how that I am the LORD.","And that thou mayest tell in the ears of thy son, and of thy son’s son, what things I have wrought in Egypt, and my signs which I have done among them; that ye may know how that I am the LORD."
EXO 10:3,"And Moses and Aaron came in unto Pharaoh, and said unto him, Thus saith the LORD God of the Hebrews, How long wilt thou refuse to humble thyself before me? let my people go, that they may serve me.","And Moses and Aaron came in unto Pharaoh, and said unto him, Thus saith the LORD God of the Hebrews, How long wilt thou refuse to humble thyself before me? let my people go, that they may serve me."
EXO 10:4,"Else, if thou refuse to let my people go, behold, to morrow will I bring the locusts into thy coast:","Else, if thou refuse to let my people go, behold, to morrow will I bring the locusts into thy coast:"
EXO 10:5,"And they shall cover the face of the earth, that one cannot be able to see the earth: and they shall eat the residue of that which is escaped, which remaineth unto you from the hail, and shall eat every tree which groweth for you out of the field:","And they shall cover the face of the earth, that one cannot be able to see the earth: and they shall eat the residue of that which is escaped, which remaineth unto you from the hail, and shall eat every tree which groweth for you out of the field:"
EXO 10:6,"And they shall fill thy houses, and the houses of all thy servants, and the houses of all the Egyptians; which neither thy fathers, nor thy fathers’ fathers have seen, since the day that they were upon the earth unto this day. And he turned himself, and went out from Pharaoh.","And they shall fill thy houses, and the houses of all thy servants, and the houses of all the Egyptians; which neither thy fathers, nor thy fathers’ fathers have seen, since the day that they were upon the earth unto this day. And he turned himself, and went out from Pharaoh."
EXO 10:7,"And Pharaoh’s servants said unto him, How long shall this man be a snare unto us? let the men go, that they may serve the LORD their God: knowest thou not yet that Egypt is destroyed?","And Pharaoh’s servants said unto him, How long shall this man be a snare unto us? let the men go, that they may serve the LORD their God: knowest thou not yet that Egypt is destroyed?"
EXO 10:8,"And Moses and Aaron were brought again unto Pharaoh: and he said unto them, Go, serve the LORD your God: but who are they that shall go?","And Moses and Aaron were brought again unto Pharaoh: and he said unto them, Go, serve the LORD your God: but who are they that shall go?"
